Format Version,1.22,Take Name,CS2T_tran_003,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-03 11.50.52.549 AM,Total Frames in Take,1300,Total Exported Frames,326,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-0.838958,57.184563,-9.181169,-10.459853,168.439651,-20.939259,-0.354286,0.102209,0.180430,-2.643177,156.765030,175.578873,178.028992,-44.331768,-0.146425,18.017275,14.041426,-19.171007,-8.925552,170.718002,-25.578617,18.133820,15.492905,-22.528870,-12.644582,170.818939,-19.541777,-82.039635,100.996254,179.947952,17.877550,15.679735,-15.908994,-14.599335,169.629684,-15.186334,78.713036,211.677460,176.015640,18.056461,10.969864,-19.073860,-5.670277,162.594727,-23.456461,79.943657,102.167282,179.652161,-80.180527,210.738022,176.991791,22.619301,169.946365,-27.958059,9.957461,174.889618,-21.002647,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.116667,-0.831831,57.158985,-9.182004,-10.457846,168.440399,-20.937651,-0.351309,0.102352,0.180617,-2.642758,156.766296,175.580826,178.039063,-44.367245,-0.088306,18.019062,14.044248,-19.169767,-8.921514,170.719223,-25.576189,18.134308,15.493452,-22.528923,-12.643008,170.819321,-19.540459,-82.039337,100.996376,179.947037,17.877768,15.679929,-15.909169,-14.599781,169.629807,-15.186930,78.713272,211.678955,176.020233,18.061218,10.977981,-19.069763,-5.667491,162.595932,-23.453245,79.944405,102.168106,179.653259,-80.180389,210.739044,176.998550,22.624647,169.949982,-27.939827,9.958647,174.891403,-20.989811,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.133333,-0.838872,57.137054,-9.167265,-10.455930,168.440857,-20.936485,-0.352550,0.103042,0.180501,-2.642919,156.765305,175.580460,178.041122,-44.333515,-0.133235,18.017855,14.041882,-19.170193,-8.918025,170.719757,-25.573467,18.135160,15.494103,-22.527906,-12.642571,170.819351,-19.539457,-82.039474,100.995720,179.950073,17.878298,15.679855,-15.908236,-14.601365,169.629807,-15.186537,78.713242,211.677811,176.017715,18.055996,10.969804,-19.073139,-5.662232,162.597229,-23.452616,79.945221,102.165901,179.654175,-80.180443,210.738403,176.995926,22.630133,169.948547,-27.923134,9.960135,174.892029,-20.978939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.150000,-0.879266,57.120182,-9.129983,-10.455859,168.441849,-20.933311,-0.352910,0.103062,0.181038,-2.643427,156.764526,175.580902,178.047195,-44.369133,-0.088037,18.019693,14.044603,-19.167923,-8.916547,170.719849,-25.570063,18.135324,15.494728,-22.526785,-12.642927,170.819351,-19.537903,-82.039673,100.995110,179.949158,17.878300,15.679640,-15.907206,-14.602568,169.629639,-15.184951,78.712227,211.677795,176.017776,18.061644,10.978116,-19.068304,-5.661737,162.601440,-23.446644,79.943855,102.167976,179.651398,-80.181030,210.736221,176.996811,22.632730,169.946701,-27.910912,9.960858,174.892197,-20.969227,5.486837,58.676003,-14.505398,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.166667,-0.819235,57.097584,-9.188083,-10.456025,168.441711,-20.931210,-0.352110,0.102508,0.180055,-2.643095,156.764908,175.582306,178.061005,-44.362076,-0.079847,18.020252,14.045170,-19.166977,-8.914282,170.721436,-25.568214,18.136066,15.495378,-22.525520,-12.642185,170.820068,-19.536760,-82.039581,100.996307,179.949478,17.878965,15.680088,-15.906054,-14.603245,169.630096,-15.184731,78.713486,211.676788,176.020737,18.061968,10.978776,-19.067898,-5.664721,162.597977,-23.441452,79.944595,102.165588,179.656036,-80.181717,210.739044,177.000565,22.634459,169.949356,-27.902702,9.962008,174.892914,-20.961735,8.805044,59.048569,-13.268691,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.183333,-0.866227,57.085342,-9.137277,-10.455219,168.443497,-20.929155,-0.352784,0.103560,0.180671,-2.643505,156.764709,175.580566,178.055740,-44.329296,-0.130611,18.019527,14.043477,-19.167555,-8.912951,170.722473,-25.565371,18.136887,15.496195,-22.524920,-12.641891,170.820450,-19.535702,-82.039833,100.996208,179.948608,17.879204,15.680200,-15.905325,-14.603682,169.630020,-15.183955,78.712502,211.677460,176.016861,18.058434,10.972250,-19.071093,-5.662756,162.604004,-23.438236,79.944878,102.165771,179.654114,-80.181435,210.736923,176.998566,22.636971,169.953278,-27.896278,9.962672,174.893478,-20.955702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.200000,-0.864161,57.080334,-9.136680,-10.454409,168.444412,-20.927923,-0.354792,0.103541,0.181209,-2.643355,156.762543,175.582809,178.056229,-44.334213,-0.132794,18.019604,14.043578,-19.166666,-8.911638,170.723755,-25.564203,18.136871,15.496638,-22.523979,-12.641438,170.821289,-19.534679,-82.038956,100.995102,179.951721,17.879551,15.680209,-15.904385,-14.603164,169.630508,-15.182877,78.712112,211.676056,176.017197,18.058409,10.972156,-19.070311,-5.661848,162.604980,-23.436558,79.946564,102.161812,179.661652,-80.180542,210.732819,176.995422,22.638859,169.952621,-27.891232,9.964485,174.893127,-20.952156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.216667,-0.854850,57.077862,-9.144684,-10.453560,168.445053,-20.927830,-0.356131,0.104114,0.181582,-2.644148,156.763245,175.580307,178.071167,-44.365974,-0.078776,18.020748,14.045626,-19.164888,-8.910078,170.724609,-25.564146,18.136311,15.496339,-22.523233,-12.640846,170.821808,-19.534376,-82.040131,100.995544,179.951569,17.879337,15.679657,-15.903706,-14.602655,169.631363,-15.182644,78.710976,211.677292,176.012604,18.062883,10.979669,-19.066238,-5.661105,162.605331,-23.436749,79.946747,102.164818,179.657562,-80.182068,210.733063,176.992630,22.639223,169.947693,-27.890106,9.964846,174.892944,-20.950520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.233333,-0.866095,57.077908,-9.140767,-10.453926,168.444351,-20.926456,-0.356115,0.103495,0.181315,-2.644074,156.763107,175.579605,178.076370,-44.363697,-0.075395,18.020599,14.045265,-19.164064,-8.910604,170.722824,-25.562790,18.135849,15.495666,-22.522455,-12.641070,170.821854,-19.533596,-82.040939,100.993347,179.954620,17.879635,15.679606,-15.902631,-14.603371,169.630966,-15.181094,78.711304,211.676788,176.012787,18.062666,10.979363,-19.065660,-5.661095,162.604645,-23.434893,79.947403,102.164009,179.657608,-80.182587,210.735031,176.990067,22.639374,169.946381,-27.889708,9.964529,174.891602,-20.950397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.250000,-0.884702,57.087116,-9.129263,-10.454642,168.443375,-20.925926,-0.355253,0.104279,0.181044,-2.643733,156.763611,175.581024,178.085938,-44.368450,-0.070006,18.020863,14.045633,-19.163631,-8.912416,170.721207,-25.562635,18.136040,15.496452,-22.521799,-12.641713,170.820572,-19.532770,-82.040657,100.995277,179.953598,17.879824,15.679233,-15.902169,-14.603279,169.630737,-15.180481,78.711914,211.676880,176.013916,18.062950,10.979965,-19.065479,-5.661590,162.603882,-23.434404,79.948547,102.162842,179.660416,-80.182480,210.735443,176.995804,22.637869,169.945953,-27.892982,9.964102,174.890915,-20.952761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
