5.1667,25.033,20.067,15.1,10.133,0.2,30,30,10.133,10.133,10.133,30,25.033,10.133,0.2,15.1,20.067,10.133,20.067,10.133,15.1,15.1,5.1667,15.1,25.033,20.067,15.1,10.133,0.2,15.1,20.067,25.033,25.033,15.1,10.133,5.1667,20.067,20.067,20.067,15.1,5.1667,20.067,25.033,15.1,0.2,30,25.033,15.1,20.067,15.1,15.1,20.067,20.067,10.133,0.2,30,25.033,15.1,0.2,25.033,20.067,5.1667,25.033,20.067,15.1,0.2,30,10.133,10.133,10.133,30,25.033,25.033,20.067,25.033,20.067,10.133,15.1,25.033,5.1667,0.2,25.033,10.133,10.133,5.1667,0.2,20.067,30,30,5.1667,30,30,30,25.033,10.133,5.1667,25.033,25.033,30,15.1,15.1,10.133,15.1,30,15.1,25.033,25.033,10.133,5.1667,0.2,10.133,25.033,15.1,0.2,5.1667,10.133,20.067,10.133,20.067,10.133,15.1,10.133,25.033,30,15.1,5.1667,25.033,0.2,5.1667,20.067,20.067,20.067,30,15.1,0.2,5.1667,25.033,30,0.2,30,25.033,0.2,0.2,25.033,0.2,10.133,25.033,10.133,15.1,20.067,30,25.033,15.1,20.067,30,10.133,15.1,15.1,30,15.1,10.133,15.1,25.033,25.033,25.033,25.033,30,0.2,5.1667,30,5.1667,20.067,15.1,0.2,15.1,10.133,30,15.1,20.067,15.1,0.2,15.1,0.2,30,0.2,30,15.1,10.133,0.2,20.067,20.067,20.067,5.1667,30,20.067,5.1667,0.2,0.2,25.033,20.067,5.1667,25.033,10.133,30,25.033,25.033,0.2,20.067,5.1667,15.1,30,0.2,10.133,30,25.033,0.2,30,30,25.033,5.1667,25.033,25.033,5.1667,30,15.1,0.2,0.2,10.133,15.1,0.2,25.033,30,15.1,30,0.2,30,15.1,10.133,15.1,0.2,5.1667,10.133,20.067,0.2,20.067,25.033,10.133,10.133,5.1667,5.1667,5.1667,10.133,15.1,10.133,5.1667,30,0.2,15.1,0.2,30,0.2,20.067,5.1667,0.2,30,20.067,25.033,15.1,5.1667,10.133,10.133,15.1,0.2,30,0.2,0.2,30,20.067,20.067,10.133,25.033,20.067,25.033,30,15.1,5.1667,15.1,10.133,10.133,5.1667,30,10.133,10.133,0.2,5.1667,20.067,5.1667,0.2,5.1667,15.1,30,20.067,20.067,25.033,20.067,25.033,5.1667,0.2,10.133,25.033,10.133,25.033,5.1667,0.2,10.133,15.1,25.033,10.133,0.2,10.133,20.067,20.067,0.2,0.2,10.133,30,30,20.067,25.033,25.033,5.1667,0.2,0.2,15.1,30,5.1667,20.067,5.1667,0.2,25.033,15.1,5.1667,30,30,0.2,20.067,25.033,20.067,30,0.2,20.067,25.033,10.133,0.2,25.033,5.1667,30,25.033,0.2,25.033,15.1,20.067,0.2,20.067,25.033,10.133,20.067,5.1667,20.067,20.067,15.1,0.2,10.133,5.1667,20.067,30,20.067,0.2,30,30,15.1,20.067,30,5.1667,20.067,0.2,5.1667,25.033,30,30,15.1,0.2,30,15.1,5.1667,25.033,10.133,5.1667,0.2,20.067,0.2,25.033,15.1,20.067,20.067,20.067,25.033,10.133,20.067,5.1667,5.1667,30,25.033,20.067,20.067,5.1667,5.1667,30,5.1667,15.1,5.1667,30,5.1667,15.1,30,0.2,5.1667,0.2,10.133,10.133,5.1667,5.1667,10.133,15.1,10.133,10.133,0.2,5.1667,10.133,5.1667,20.067,0.2,30,10.133,5.1667,5.1667,5.1667,20.067,5.1667,25.033,30,15.1,15.1,15.1,5.1667,15.1,15.1,15.1,25.033,30,30,10.133,5.1667,10.133,30,0.2,25.033,10.133,30,10.133,0.2,20.067,10.133,5.1667,30,30,25.033,20.067,0.2,5.1667,25.033,10.133,25.033,15.1,5.1667,5.1667,5.1667,0.2,15.1,15.1
0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,1,1
-45,45,-45,45,45,-45,-45,-45,45,-45,45,-45,-45,45,45,-45,-45,-45,45,45,45,-45,45,-45,45,-45,-45,-45,-45,45,45,45,45,-45,45,45,45,-45,-45,-45,45,-45,45,45,-45,-45,-45,45,-45,-45,45,45,45,45,-45,-45,45,45,-45,45,45,-45,45,-45,45,45,45,45,45,-45,45,-45,-45,-45,45,-45,45,45,45,-45,-45,45,45,-45,45,-45,-45,-45,-45,45,-45,45,45,45,45,-45,45,-45,-45,-45,45,45,-45,-45,45,-45,45,45,-45,45,-45,45,45,45,-45,45,-45,-45,45,-45,45,-45,45,-45,45,45,-45,45,-45,45,45,45,45,-45,-45,45,45,45,45,-45,-45,-45,-45,45,45,45,-45,45,-45,-45,-45,-45,45,45,45,-45,45,45,45,-45,45,45,-45,-45,-45,-45,-45,45,45,-45,45,-45,-45,-45,45,45,45,45,45,-45,45,-45,45,-45,-45,45,45,45,-45,-45,45,-45,45,-45,-45,45,45,45,-45,45,-45,45,-45,45,-45,-45,-45,45,-45,-45,-45,-45,45,45,-45,-45,45,45,45,45,-45,45,45,45,-45,45,45,-45,-45,-45,-45,-45,-45,45,45,-45,-45,-45,45,-45,-45,-45,45,45,-45,-45,45,-45,45,-45,45,-45,45,-45,-45,45,45,45,45,45,-45,-45,-45,-45,-45,-45,45,45,-45,-45,45,45,-45,-45,-45,45,45,45,-45,45,45,45,-45,45,45,45,-45,-45,-45,45,-45,-45,45,45,45,-45,-45,45,-45,45,-45,45,-45,-45,-45,-45,45,-45,-45,45,45,-45,45,-45,45,-45,-45,-45,45,-45,-45,45,-45,45,-45,45,-45,45,-45,45,45,45,-45,-45,-45,-45,-45,-45,-45,-45,-45,45,-45,-45,45,-45,-45,-45,45,45,45,-45,-45,-45,-45,45,-45,-45,45,-45,45,45,-45,-45,-45,-45,-45,-45,-45,-45,45,-45,-45,45,-45,45,45,45,45,45,45,45,-45,45,-45,45,45,-45,-45,45,45,45,-45,-45,45,45,45,45,-45,45,45,-45,45,-45,-45,45,45,45,45,-45,45,-45,-45,-45,45,45,-45,-45,45,45,-45,45,45,-45,45,45,-45,-45,45,45,-45,45,-45,-45,-45,-45,45,-45,45,45,-45,-45,45,45,-45,45,-45,45,45,45,-45,45,-45,-45,45,45,45,45,45,45,45,45,-45,-45,45,-45,45,-45,45,45,45,-45,45,45,45,45,-45,45,-45,45,-45,-45,45,-45,-45,-45,-45,-45,45,-45
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219,220,221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,270,271,272,273,274,275,276,277,278,279,280,281,282,283,284,285,286,287,288,289,290,291,292,293,294,295,296,297,298,299,300,301,302,303,304,305,306,307,308,309,310,311,312,313,314,315,316,317,318,319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339,340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355,356,357,358,359,360,361,362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392,393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410,411,412,413,414,415,416,417,418,419,420,421,422,423,424,425,426,427,428,429,430,431,432,433,434,435,436,437,438,439,440,441,442,443,444,445,446,447,448,449,450,451,452,453,454,455,456,457,458,459,460,461,462,463,464,465,466,467,468,469,470,471,472,473,474,475,476,477,478,479,480,481,482,483,484,485,486,487,488,489,490
0.72543,4.1755,6.3999,8.3637,10.789,12.159,14.946,16.763,18.338,20.599,22.652,24.436,25.973,28.263,30.64,33.118,34.414,36.282,38.609,41.939,43.908,45.857,47.761,49.408,50.905,52.057,53.504,56.69,58.866,60.679,62.442,64.166,66.052,68.242,69.736,71.268,73.113,74.438,76.644,78.041,80.201,82.652,84.025,85.81,87.168,89.665,91.636,93.07,95.376,97.048,100.15,103.24,104.74,106.89,108.94,112.69,114.32,116.48,118.54,122.94,124.81,126.48,129.68,131.26,133.07,134.85,136.81,138.07,140.37,142.73,144,145.9,147.26,148.86,150.16,152.37,154.12,155.98,157.23,158.67,160.82,163.29,166.24,169.18,170.9,172.92,174.74,177.26,178.59,180.17,182.47,184.29,186.25,187.45,189.36,191.71,193.8,196.31,197.6,199.76,201.83,204.02,205.69,208.04,209.92,211.82,213.74,215.59,217.75,219.37,221.25,223.36,224.9,227.09,229.44,231.22,232.89,234.81,236.74,238.98,241.05,242.28,244,245.49,247.58,250.49,252.34,253.66,256,258.11,260.88,263.06,265.31,266.99,269.37,272.58,275.99,278.03,280.63,283.11,284.77,286.87,288.87,290.37,291.64,293.71,295.6,297.45,298.89,300.98,303.03,304.32,306.23,308.63,310.82,313.02,314.4,316.07,317.95,319.98,321.96,323.56,325.2,326.76,328.42,329.8,331.53,333.11,336,337.57,339.04,340.88,342.51,345.12,346.92,348.38,349.78,351.97,354.33,356.43,357.87,360.47,362.36,365.11,366.8,369.58,371.19,374.16,376.54,378.28,380.69,384.43,386.66,389.56,391.11,395.21,397.16,398.83,400.41,402.35,404.21,406.46,408.35,410.32,412.23,414.18,415.51,417.34,418.8,421.89,423.22,424.59,428.34,430.45,432.86,434.78,437.52,439.03,441.21,442.63,444.89,446.95,448.97,450.49,451.79,453.58,455.83,458.1,459.67,461.73,464.05,465.47,467.48,469.32,470.95,473.24,474.73,477.27,479.76,481.24,486.28,488.12,491.24,493.56,495.65,502.9,505.03,507.27,509.55,511.53,513.45,515.79,519.69,522.16,525.62,528.04,529.94,532.2,534.93,536.59,538.41,540.77,542.17,545.04,547.11,548.51,550.74,552.17,555,557.26,559.86,562.1,564.59,567.62,569.14,571.37,574.73,576.66,578.03,580.35,582.07,583.35,585.45,587.1,588.86,590.7,592.5,594.24,595.74,597.53,600.4,602.04,604.2,607.17,610.91,613.14,615.36,617.49,619.7,621.36,623.72,625.74,627.43,629.55,631.4,633.56,635.64,638.64,640.29,641.97,643.62,645.49,647.04,649.52,651.62,653.44,655.48,657.41,659.15,661.24,663.07,664.88,667.11,669.07,671.62,673.85,676.44,679.47,681.02,682.97,684.29,687.37,690,691.73,693.95,695.33,697.49,698.77,700.5,702.68,704.84,707.12,709.88,711.94,713.53,715.41,717.28,719.35,721.11,723.23,726.04,727.92,730.01,732.78,735.6,737.89,739.81,741.85,743.25,745.46,747.43,749.5,750.97,754.8,757.36,759.61,761.64,763.76,766.64,768.77,770.35,772.29,774.68,776.88,778.96,781.09,782.34,784.27,786.14,788.22,789.62,791.17,793.23,795.16,796.67,798.07,800.38,802.77,804.51,806.4,808.46,810.2,812.71,814.71,816.94,819.32,820.84,822.99,825.19,827.43,829.29,832.02,834.12,835.77,838.04,840.1,841.63,844.01,845.94,848.01,850.23,852.42,854.29,856.3,857.77,859.08,861.39,863.31,865.03,867.63,869.37,872.02,874.17,876.93,878.64,880.19,882.52,884.7,887.22,889.18,890.63,892.22,894.47,896.65,898.56,899.93,901.4,903.07,904.92,907.07,909.37,911.67,914.86,916.69,918.91,921.23,922.79,925.23,927.22,929.56,931.11,932.71,934.39,935.72,937.34,940.21,943,945.12,946.97,949.01,950.8,952.71,954.3,956.27,959.07,961.11,963.44,965.56,967.58,969.12,971.2,973.33,975.55,977.62,980.02,981.37,983.52,985.2,987.3,988.95,990.6,992.61,994.23,995.68,997.15,999.46,1001.4,1003,1006.3,1008.3
