Format Version,1.22,Take Name,KB2T_tran_002,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 06.04.26.622 PM,Total Frames in Take,1439,Total Exported Frames,361,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,5.579492,42.832218,-10.251517,-15.426445,161.221725,-7.961582,-0.353326,0.108022,0.182427,-2.644257,156.756058,175.580383,172.480133,15.578315,163.698776,19.090521,14.029850,-10.598822,-12.747677,163.878113,-11.855960,17.923437,11.518337,-12.962352,-17.846891,163.545944,-6.942214,-82.045258,100.975510,179.972977,21.114595,13.660410,-7.589768,-20.890804,161.983353,-3.257895,78.710121,211.671265,176.009811,18.265566,16.940350,-11.243701,-10.247684,155.474213,-9.767019,79.956886,102.148071,179.670624,-80.185471,210.730392,177.003860,18.618656,164.032669,-5.326003,4.287882,167.605042,-1.983845,,,,,,,,,,,,,,,,,,,,,
7,0.116667,5.575821,42.844845,-10.272399,-15.411077,161.219650,-7.953407,-0.353184,0.107362,0.182424,-2.643574,156.757111,175.578064,172.478653,15.590446,163.703018,19.090509,14.028692,-10.598289,-12.732811,163.874283,-11.849165,17.924440,11.517769,-12.962002,-17.830706,163.544785,-6.934171,-82.044098,100.976944,179.969208,21.113890,13.659035,-7.588710,-20.874098,161.984100,-3.248618,78.710793,211.672302,176.008560,18.265265,16.938887,-11.243488,-10.234089,155.470184,-9.758240,79.957428,102.148499,179.669098,-80.185165,210.731476,177.000168,18.638617,164.023087,-5.319870,4.308063,167.600113,-1.983202,,,,,,,,,,,,,,,,,,,,,
8,0.133333,5.563643,42.853149,-10.291799,-15.395006,161.214966,-7.942122,-0.353629,0.107226,0.182050,-2.643886,156.757050,175.578064,172.478485,15.601165,163.699661,19.090305,14.027267,-10.596393,-12.716077,163.866745,-11.839342,17.925606,11.516857,-12.960184,-17.813921,163.541107,-6.923509,-82.044670,100.978210,179.968353,21.113018,13.657592,-7.586426,-20.857054,161.982758,-3.236752,78.710846,211.671738,176.008316,18.264462,16.937075,-11.241881,-10.219769,155.464249,-9.746038,79.957329,102.147881,179.669861,-80.185173,210.731644,176.998978,18.655432,164.015198,-5.316126,4.326736,167.594650,-1.982045,,,,,,,,,,,,,,,,,,,,,
9,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.183333,5.579980,42.892628,-10.360583,-15.356276,161.201614,-7.904050,-0.351086,0.108975,0.182482,-2.644077,156.756226,175.581573,172.474319,15.620463,163.705948,19.091324,14.024019,-10.594239,-12.677344,163.847595,-11.803788,17.927160,11.513350,-12.958285,-17.772522,163.530258,-6.884810,-82.045403,100.976921,179.971603,21.112331,13.653965,-7.583745,-20.814072,161.976318,-3.194880,78.710243,211.671478,176.011795,18.266705,16.934454,-11.239986,-10.187281,155.447525,-9.710651,79.959328,102.145935,179.673050,-80.185425,210.729553,177.008987,18.694836,163.991638,-5.307555,4.373631,167.579788,-1.963043,,,,,,,,,,,,,,,,,,,,,
12,0.200000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.216667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.233333,5.514478,42.907230,-10.345287,-15.331398,161.188492,-7.857045,-0.353772,0.109598,0.182646,-2.644562,156.756775,175.579605,172.456116,15.733143,163.748718,19.095627,14.024110,-10.586536,-12.655005,163.833023,-11.761170,17.929245,11.509538,-12.954171,-17.747917,163.517593,-6.839477,-82.045975,100.976601,179.974548,21.119532,13.660683,-7.570515,-20.788258,161.966537,-3.147341,78.709625,211.672287,176.006363,18.269318,16.931305,-11.234688,-10.161100,155.431702,-9.657419,79.958763,102.147171,179.671616,-80.186417,210.730453,177.004593,18.720888,163.976532,-5.280357,4.399772,167.570831,-1.930076,,,,,,,,,,,,,,,,,,,,,
15,0.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
