Format Version,1.22,Take Name,BJS2 walk,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.34.07.960 PM,Total Frames in Take,78703,Total Exported Frames,19677,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.300000,3.843513,1.669260,3.567021,1.155182,156.723175,-18.475430,-0.045843,0.864175,0.369182,1.747822,155.791489,174.673645,-16.038319,-32.459263,-23.944752,16.755463,6.934370,-0.300705
19,0.316667,3.856938,1.660875,3.571762,1.215958,156.955551,-18.467552,-0.044271,0.864886,0.369900,1.748935,155.789917,174.676987,167.517105,32.984882,-158.959488,16.772387,6.984209,-2.635048
20,0.333333,4.182170,1.606575,3.589387,1.261268,157.225967,-18.482035,-0.043190,0.866066,0.369801,1.748473,155.790512,174.679047,168.496140,32.661743,-159.067688,16.761234,7.035089,-4.997855
21,0.350000,4.521933,1.571623,3.624614,1.296239,157.490799,-18.517527,-0.042619,0.864944,0.369736,1.748711,155.790558,174.676758,-12.896152,-31.650572,-23.465780,16.698219,7.104124,-7.354912
22,0.366667,4.784084,1.539169,3.634490,1.318245,157.723495,-18.563141,-0.043276,0.864808,0.369694,1.748681,155.790894,174.677780,-11.964606,-31.236277,-23.270304,16.598049,7.200925,-9.701706
23,0.383333,5.082382,1.500403,3.666831,1.324617,157.915527,-18.618517,-0.044587,0.864036,0.369910,1.748760,155.791092,174.675812,-10.981931,-30.650604,-22.962727,16.478136,7.314270,-12.055187
24,0.400000,5.339788,1.484753,3.688789,1.322850,158.056992,-18.674774,-0.043157,0.864286,0.369527,1.748877,155.791397,174.678070,-10.043435,-29.921267,-22.624489,16.323505,7.450089,-14.395695
25,0.416667,5.529874,1.460584,3.754475,1.314022,158.142258,-18.726774,-0.043293,0.865160,0.370041,1.747627,155.791245,174.677292,173.339508,29.449677,-160.264236,16.060616,7.606390,-16.744108
26,0.433333,5.657374,1.455153,3.843210,1.305530,158.161301,-18.764296,-0.047410,0.863902,0.370242,1.747662,155.790726,174.673676,-7.985858,-27.759052,-21.928957,15.782367,7.795387,-19.095539
27,0.450000,5.720382,1.410942,3.959355,1.289905,158.109039,-18.790829,-0.044942,0.864140,0.369523,1.748266,155.791977,174.675293,-6.845689,-26.779757,-21.493443,15.504514,8.007130,-21.445404
28,0.466667,5.671454,1.379545,4.039282,1.261201,157.988251,-18.803757,-0.045081,0.863826,0.369438,1.748561,155.791504,174.675446,-5.781747,-26.117889,-21.212696,15.251155,8.222906,-23.758944
29,0.483333,5.552606,1.345225,4.096925,1.220293,157.812943,-18.805613,-0.045827,0.864295,0.369147,1.748560,155.792480,174.674225,177.588821,26.204182,-161.476746,15.038355,8.453974,-26.048071
30,0.500000,5.429825,1.340872,4.127501,1.159913,157.591156,-18.802074,-0.045513,0.863741,0.369663,1.747896,155.792038,174.674469,-3.566586,-25.142179,-20.634180,14.868161,8.720454,-28.324720
31,0.516667,5.288089,1.305244,4.186532,1.087370,157.339005,-18.792578,-0.045198,0.862780,0.370205,1.748486,155.791016,174.674377,-2.310301,-24.653955,-20.312836,14.733884,9.029092,-30.584272
32,0.533333,5.194262,1.265085,4.248351,1.006314,157.070297,-18.782494,-0.042956,0.863517,0.369399,1.749360,155.790878,174.677322,-0.915933,-24.159782,-19.978830,14.634286,9.404336,-32.811787
33,0.550000,5.076921,1.218528,4.304638,0.912042,156.794220,-18.767628,-0.043192,0.863581,0.369426,1.748772,155.791031,174.677429,0.716905,-23.605888,-19.571489,14.570001,9.840701,-34.997681
34,0.566667,4.956618,1.168066,4.319845,0.800015,156.521576,-18.745884,-0.045519,0.862259,0.369600,1.749102,155.790848,174.674240,2.591777,-23.192337,-19.280918,14.581555,10.341881,-37.105495
35,0.583333,4.833309,1.101103,4.302994,0.663654,156.273483,-18.716122,-0.044979,0.863131,0.369659,1.749227,155.791290,174.676407,4.598476,-23.057726,-19.147020,14.652969,10.911816,-39.112206
36,0.600000,4.744070,1.043153,4.274969,0.511240,156.049530,-18.679457,-0.042696,0.863178,0.369609,1.750034,155.790863,174.677277,6.807909,-22.839886,-18.993587,14.786458,11.575644,-41.010529
37,0.616667,4.606699,1.002565,4.234911,0.343290,155.837814,-18.633530,-0.044684,0.862653,0.369595,1.750491,155.790680,174.677750,9.342785,-22.628141,-18.765394,14.971663,12.328071,-42.778019
38,0.633333,4.487102,0.970573,4.186125,0.153889,155.650116,-18.584955,-0.043629,0.863874,0.369695,1.749019,155.790237,174.678375,12.091171,-22.456566,-18.766693,15.169565,13.155836,-44.376667
39,0.650000,4.327963,0.974235,4.109765,-0.057520,155.475998,-18.539759,-0.042518,0.865037,0.369756,1.749706,155.791046,174.678513,14.980196,-21.773991,-18.815344,15.346128,14.068344,-45.731087
40,0.666667,3.749889,1.049717,4.006964,-0.301701,155.371109,-18.488663,-0.045380,0.864600,0.369604,1.749339,155.790710,174.677414,-159.307236,21.191442,-163.445313,15.497653,15.108334,-46.758690
41,0.683333,3.759603,1.133461,3.814064,-0.568638,155.430740,-18.462784,-0.045475,0.863764,0.369660,1.750260,155.790802,174.678940,21.843363,-18.625551,-19.112860,15.512100,16.197390,-47.321171
42,0.700000,4.130036,1.153257,3.715200,-0.821463,155.544357,-18.457579,-0.044575,0.863766,0.369618,1.749779,155.791031,174.677505,-151.906830,15.718369,-162.789688,15.423751,17.341782,-47.337311
43,0.716667,4.257629,1.156524,3.640326,-1.046897,155.631226,-18.459518,-0.046116,0.864480,0.369382,1.748919,155.790848,174.676529,-145.988983,12.670211,-163.278030,15.435691,18.574205,-46.771614
44,0.733333,4.162287,1.148145,3.645591,-1.244837,155.663925,-18.474503,-0.047417,0.863868,0.368841,1.748937,155.792374,174.674072,-141.338928,12.102490,-163.382996,15.438279,19.882648,-45.997543
45,0.750000,3.704404,1.168793,3.659468,-1.421395,155.710068,-18.491735,-0.047774,0.864497,0.368773,1.748528,155.792297,174.675430,-139.236557,11.753754,-162.519714,15.266969,21.118093,-44.965611
46,0.766667,3.630973,1.168983,3.681285,-1.574018,155.852448,-18.523117,-0.048854,0.865123,0.369836,1.748545,155.791809,174.675217,-136.735703,11.191565,-161.128769,14.971791,22.448441,-43.507114
47,0.783333,3.807679,1.117427,3.721681,-1.703578,156.045181,-18.561388,-0.045339,0.865799,0.369462,1.749032,155.791916,174.680054,-135.542419,10.553732,-160.693665,14.520857,23.676443,-41.688259
48,0.800000,3.808852,1.090297,3.718400,-1.812439,156.241287,-18.589579,-0.047857,0.865040,0.369993,1.749084,155.791061,174.677582,-135.589050,9.879835,-160.507477,13.979695,24.746161,-39.543938
49,0.816667,3.657315,1.121592,3.699192,-1.913990,156.460159,-18.620794,-0.044668,0.866377,0.369780,1.748906,155.791367,174.678741,-136.662460,10.000728,-161.514679,13.713100,25.342274,-37.065205
50,0.833333,3.703725,1.130755,3.653963,-1.996930,156.730576,-18.667532,-0.044830,0.868055,0.369426,1.748208,155.791931,174.680618,-138.734024,10.965780,-161.358765,13.515999,25.266701,-34.410809
51,0.850000,3.900164,1.154527,3.644333,-2.063586,157.021942,-18.733988,-0.047363,0.866913,0.369694,1.747714,155.791122,174.678589,-141.808075,12.362306,-160.736115,13.328925,24.746580,-31.573418
52,0.866667,4.122405,1.220429,3.646375,-2.113994,157.300583,-18.807060,-0.047342,0.865448,0.370222,1.747805,155.791611,174.677414,-145.583099,14.034645,-160.366501,13.183662,23.860518,-28.501019
53,0.883333,4.321690,1.294349,3.613605,-2.162257,157.554810,-18.892216,-0.046472,0.865397,0.370164,1.747808,155.791336,174.677948,27.912556,-15.086879,-21.661417,13.087805,22.624067,-25.222305
54,0.900000,4.512361,1.402146,3.574152,-2.211692,157.764526,-18.981413,-0.046158,0.864336,0.370134,1.748173,155.790344,174.679474,-154.764267,16.967089,-160.267731,13.033875,21.134476,-21.727814
55,0.916667,4.759779,1.492719,3.500098,-2.253916,157.922287,-19.065578,-0.045450,0.865965,0.369845,1.748564,155.790680,174.679504,-159.990097,18.158407,-160.475525,13.054731,19.447128,-18.028353
56,0.933333,4.925911,1.587106,3.437085,-2.287034,158.018463,-19.140316,-0.043691,0.865777,0.369694,1.749408,155.789642,174.681885,-165.614502,19.247168,-160.724915,13.162342,17.625959,-14.127281
57,0.950000,5.078042,1.658013,3.347517,-2.306685,158.052994,-19.194857,-0.044827,0.864265,0.369742,1.748876,155.790421,174.680511,6.067727,-19.732977,-20.951456,13.329620,15.718041,-10.052176
58,0.966667,5.118037,1.712610,3.211553,-2.321087,158.023895,-19.232937,-0.043500,0.864759,0.368868,1.748967,155.791214,174.680237,-0.254503,-20.414881,-20.350365,13.553974,13.804555,-5.771047
59,0.983333,5.087378,1.753058,3.097005,-2.317908,157.927963,-19.247189,-0.045847,0.863394,0.369793,1.748469,155.790588,174.675980,-6.672441,-20.777958,-19.791080,13.828569,12.025298,-1.346329
60,1.000000,5.002981,1.782438,3.013498,-2.292492,157.782944,-19.246069,-0.043175,0.864426,0.369586,1.748796,155.790924,174.678955,-13.187635,-20.850307,-19.232777,14.146657,10.513820,3.193905
61,1.016667,4.915536,1.798477,2.993387,-2.236678,157.600632,-19.236423,-0.044377,0.863229,0.369418,1.749427,155.791046,174.677826,-19.509274,-20.775858,-18.605879,14.499220,9.428726,7.702143
62,1.033333,4.856623,1.818584,3.038217,-2.154682,157.401062,-19.228357,-0.045034,0.862774,0.369152,1.749592,155.791687,174.677002,-25.762419,-20.629105,-18.098743,14.851917,8.859040,11.953337
63,1.050000,4.827092,1.788288,3.113756,-2.051139,157.186447,-19.222904,-0.043638,0.861961,0.368821,1.749268,155.791351,174.677139,-31.319204,-20.727446,-17.233398,15.167192,8.775629,15.661899
64,1.066667,4.735133,1.769601,3.172769,-1.931522,156.969589,-19.218449,-0.043270,0.863038,0.368855,1.749553,155.790955,174.678009,-35.672092,-21.124853,-16.463472,15.433799,9.034521,18.617849
65,1.083333,4.606975,1.783757,3.236756,-1.791933,156.769272,-19.212324,-0.042236,0.863140,0.369207,1.748569,155.790787,174.677795,-38.790791,-21.798216,-15.939580,15.611050,9.350918,20.691271
66,1.100000,4.563738,1.718219,3.323905,-1.631231,156.600052,-19.212038,-0.043137,0.864759,0.369316,1.748888,155.790527,174.677704,-40.949100,-22.371426,-16.174799,15.614631,9.466752,21.887432
67,1.116667,4.532472,1.632540,3.428176,-1.443465,156.456116,-19.207483,-0.043659,0.863390,0.369301,1.748813,155.790421,174.675491,-41.594036,-23.269876,-16.900736,15.478593,9.281119,22.138863
68,1.133333,4.484649,1.565137,3.563684,-1.236002,156.335419,-19.202644,-0.042530,0.863084,0.369208,1.748609,155.791656,174.676437,-40.530331,-24.685467,-17.736710,15.336199,8.802737,21.468401
