Format Version,1.22,Take Name,pm2_tran_002,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-16 10.25.55.069 AM,Total Frames in Take,88207,Total Exported Frames,22053,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,,,,,,,,,,,,,,,,,,
1,0.016667,8.576864,4.552568,-4.982711,-5.737828,178.076859,-28.875246,-0.341734,0.053884,0.180430,-2.597392,156.809326,175.568100,-174.605789,-33.728836,5.856019,12.211140,16.861328,-20.848310
2,0.033333,8.547603,4.601359,-5.055889,-5.725402,178.070602,-28.888140,-0.344946,0.054400,0.180932,-2.598871,156.807785,175.564758,-174.606094,-33.734303,5.854483,12.210217,16.861195,-20.847296
3,0.050000,8.514715,4.648428,-5.116976,-5.712872,178.063766,-28.901768,-0.345354,0.053871,0.180652,-2.597330,156.806244,175.568207,-174.598709,-33.724365,5.852439,12.209309,16.860775,-20.845873
4,0.066667,,,,,,,,,,,,,,,,,,
5,0.083333,8.494262,4.718999,-5.251520,-5.686638,178.059814,-28.930817,-0.344267,0.053594,0.179998,-2.597184,156.807892,175.567795,-174.579575,-33.709187,5.857066,12.209885,16.861195,-20.839790
6,0.100000,,,,,,,,,,,,,,,,,,
7,0.116667,8.469650,4.799694,-5.388845,-5.665775,178.058487,-28.955767,-0.340858,0.054860,0.180131,-2.596937,156.808060,175.571198,-174.578049,-33.691566,5.846354,12.208017,16.861795,-20.834837
8,0.133333,,,,,,,,,,,,,,,,,,
9,0.150000,,,,,,,,,,,,,,,,,,
10,0.166667,,,,,,,,,,,,,,,,,,
11,0.183333,,,,,,,,,,,,,,,,,,
12,0.200000,,,,,,,,,,,,,,,,,,
13,0.216667,,,,,,,,,,,,,,,,,,
14,0.233333,8.361200,4.651790,-5.481991,-5.480358,178.036850,-28.987827,-0.344399,0.053380,0.180398,-2.597353,156.807571,175.567383,-174.531784,-33.634106,5.818595,12.209855,16.850910,-20.824610
15,0.250000,8.346388,4.638951,-5.478258,-5.450549,178.035370,-28.983625,-0.342400,0.053706,0.180583,-2.596933,156.807846,175.567490,-174.516983,-33.630272,5.824802,12.210416,16.849747,-20.823483
16,0.266667,8.339083,4.635295,-5.489140,-5.425567,178.034180,-28.978872,-0.341112,0.053031,0.180146,-2.596407,156.808350,175.569290,-174.510437,-33.629490,5.833124,12.211774,16.849140,-20.822426
17,0.283333,8.343796,4.634592,-5.495284,-5.403679,178.033401,-28.972744,-0.342908,0.052947,0.180645,-2.597361,156.808197,175.566727,-174.501495,-33.632050,5.837801,12.213477,16.847940,-20.821814
18,0.300000,,,,,,,,,,,,,,,,,,
19,0.316667,8.349219,4.646728,-5.507318,-5.361486,178.032349,-28.955332,-0.341324,0.054184,0.180967,-2.597576,156.807816,175.568253,-174.471878,-33.649544,5.870343,12.220025,16.847321,-20.818626
20,0.333333,,,,,,,,,,,,,,,,,,
21,0.350000,,,,,,,,,,,,,,,,,,
22,0.366667,8.356220,4.682576,-5.561879,-5.289918,178.032379,-28.919502,-0.338862,0.053305,0.180514,-2.596519,156.808655,175.569565,-174.408920,-33.650711,5.910033,12.226591,16.844814,-20.808382
23,0.383333,,,,,,,,,,,,,,,,,,
24,0.400000,,,,,,,,,,,,,,,,,,
25,0.416667,,,,,,,,,,,,,,,,,,
26,0.433333,8.399324,4.725943,-5.648208,-5.191232,178.041763,-28.862926,-0.338813,0.053098,0.180540,-2.596135,156.808289,175.570541,-174.365967,-33.634880,5.904408,12.232792,16.842960,-20.791149
27,0.450000,8.403997,4.737268,-5.661668,-5.166939,178.045212,-28.849533,-0.341562,0.053452,0.180011,-2.597201,156.808548,175.569229,-174.364319,-33.631031,5.906612,12.233891,16.842505,-20.789953
28,0.466667,8.405398,4.735894,-5.669235,-5.139864,178.047119,-28.834925,-0.341719,0.052406,0.180092,-2.597220,156.808228,175.569946,-174.320297,-33.559715,5.964712,12.238914,16.842499,-20.789135
