Format Version,1.22,Take Name,KR1T_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-01 11.27.16.414 AM,Total Frames in Take,1157,Total Exported Frames,290,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,16.592520,2.687038,-7.700880,-2.708829,166.002274,-41.859184,-0.347056,0.109438,0.179588,-2.644665,156.765762,175.575073,173.339157,21.618517,-178.594391,19.890917,10.416524,-34.748798,1.896941,168.769150,-42.527424,18.414978,8.526386,-37.559254,-5.208300,168.492645,-42.083443,-82.044846,100.990227,179.958771,21.234215,9.155182,-31.560198,-9.904305,166.878250,-41.630272,78.712440,211.676865,176.008530,19.977045,13.498938,-35.121571,2.376761,159.870331,-41.196697,79.948410,102.157959,179.647873,-80.183548,210.743637,177.007965,,,,,,,,,
7,0.116667,16.602528,2.691595,-7.718724,-2.704995,166.002304,-41.849266,-0.350096,0.108030,0.179405,-2.644579,156.765457,175.573685,173.338791,21.619942,-178.602188,19.890268,10.417536,-34.748894,1.902451,168.768448,-42.517757,18.414602,8.527049,-37.559258,-5.205420,168.493637,-42.073357,-82.044182,100.992645,179.955002,21.233698,9.156546,-31.560207,-9.899444,166.879974,-41.618519,78.712685,211.676361,176.006210,19.975954,13.499939,-35.121864,2.378713,159.868393,-41.188316,79.948250,102.157936,179.650299,-80.183289,210.742920,177.000946,,,,,,,,,
8,0.133333,16.611814,2.701626,-7.739316,-2.701354,166.001373,-41.839199,-0.347755,0.107962,0.179145,-2.643755,156.766098,175.574966,173.345947,21.616783,-178.608109,19.888540,10.418322,-34.749161,1.906672,168.766159,-42.508461,18.412857,8.527948,-37.559589,-5.201100,168.493790,-42.062401,-82.043419,100.991676,179.955383,21.232290,9.157174,-31.560675,-9.894846,166.880814,-41.606308,78.713753,211.676605,176.009842,19.973867,13.500727,-35.121899,2.380251,159.866074,-41.180695,79.948059,102.159142,179.648407,-80.183266,210.745209,177.007248,,,,,,,,,
9,0.150000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.166667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.183333,16.605108,2.756665,-7.796588,-2.698978,165.999207,-41.810165,-0.347381,0.108346,0.179870,-2.644290,156.765778,175.574066,173.360748,21.613977,-178.611191,19.886259,10.419405,-34.747978,1.908992,168.760956,-42.486069,18.410505,8.529636,-37.558781,-5.197025,168.493057,-42.029728,-82.044098,100.990189,179.956131,21.230238,9.157557,-31.559864,-9.889661,166.883438,-41.569214,78.712540,211.677307,176.008743,19.971245,13.501626,-35.119949,2.378187,159.860535,-41.156563,79.948082,102.158775,179.646591,-80.182938,210.743210,177.003998,,,,,,,,,
12,0.200000,16.606182,2.773042,-7.815133,-2.701374,165.999451,-41.800503,-0.348496,0.108279,0.179387,-2.643924,156.766068,175.575882,173.363556,21.613340,-178.614258,19.885416,10.419772,-34.747620,1.907026,168.760437,-42.478489,18.409706,8.530016,-37.558449,-5.198604,168.494339,-42.018818,-82.043266,100.993195,179.953979,21.229511,9.157894,-31.559563,-9.891998,166.884964,-41.557060,78.713364,211.676910,176.009598,19.970406,13.502294,-35.119507,2.374457,159.859222,-41.148506,79.947708,102.159325,179.650024,-80.182938,210.743500,177.008469,,,,,,,,,
13,0.216667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.233333,16.599871,2.816219,-7.848709,-2.708249,165.998535,-41.781734,-0.347566,0.107453,0.179008,-2.644408,156.766617,175.574570,173.391388,21.605537,-178.659027,19.883581,10.422226,-34.746914,1.900388,168.758041,-42.464584,18.408590,8.531984,-37.557793,-5.203482,168.494354,-41.997730,-82.044182,100.992691,179.953949,21.229265,9.160666,-31.559402,-9.899515,166.886398,-41.532227,78.713226,211.676926,176.010345,19.966978,13.505822,-35.118240,2.366043,159.856445,-41.133263,79.948082,102.157928,179.650833,-80.183449,210.745651,177.005295,,,,,,,,,
15,0.250000,16.595760,2.830476,-7.859523,-2.711814,165.997925,-41.773197,-0.345790,0.107483,0.179170,-2.643463,156.766495,175.575745,173.392288,21.603601,-178.663956,19.882833,10.422446,-34.746609,1.897271,168.756897,-42.457718,18.407866,8.532049,-37.557396,-5.208010,168.493286,-41.988106,-82.043633,100.992668,179.953857,21.228748,9.161038,-31.559134,-9.902285,166.887146,-41.522091,78.714027,211.677002,176.013184,19.965982,13.506049,-35.118000,2.362164,159.855515,-41.125793,79.949600,102.158928,179.648254,-80.182877,210.745239,177.006851,,,,,,,,,
16,0.266667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,0.283333,16.588924,2.860387,-7.876252,-2.719717,165.998352,-41.756012,-0.347071,0.108120,0.178958,-2.643909,156.766159,175.576614,173.402679,21.601284,-178.671310,19.881313,10.423577,-34.746090,1.889796,168.756378,-42.443508,18.406410,8.533388,-37.557049,-5.216136,168.494049,-41.969772,-82.045044,100.992714,179.955811,21.227545,9.161897,-31.558859,-9.910523,166.888611,-41.500881,78.713783,211.676376,176.011917,19.964081,13.507324,-35.117138,2.354350,159.855469,-41.110760,79.948746,102.158310,179.650742,-80.182251,210.744354,177.009247,,,,,,,,,
18,0.300000,16.588726,2.871118,-7.886474,-2.724046,165.997543,-41.747608,-0.346329,0.108079,0.179504,-2.644287,156.765335,175.575836,173.409348,21.599958,-178.666046,19.879419,10.422964,-34.746750,1.886003,168.755783,-42.436157,18.404314,8.533327,-37.557976,-5.220178,168.493561,-41.961693,-82.044395,100.991951,179.954285,21.225582,9.160686,-31.559727,-9.915058,166.888641,-41.490398,78.712883,211.676331,176.011902,19.962740,13.507104,-35.117298,2.349531,159.853317,-41.103218,79.950020,102.156853,179.651169,-80.183601,210.742767,177.007675,,,,,,,,,
19,0.316667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,0.333333,16.580576,2.889031,-7.891958,-2.733421,165.992523,-41.730412,-0.348652,0.107542,0.179525,-2.643790,156.766144,175.573914,173.427994,21.586081,-178.695221,19.881809,10.426811,-34.743748,1.875855,168.749817,-42.420460,18.406710,8.536909,-37.554798,-5.228940,168.488556,-41.944050,-82.044502,100.990616,179.956818,21.229467,9.164689,-31.557295,-9.925197,166.883865,-41.470989,78.713348,211.677170,176.008530,19.963568,13.510984,-35.113918,2.340967,159.848999,-41.087002,79.950188,102.158524,179.650970,-80.183289,210.744812,177.002747,,,,,,,,,
21,0.350000,16.579000,2.894982,-7.880327,-2.737732,165.988831,-41.721607,-0.349423,0.107090,0.179534,-2.643929,156.766434,175.573700,173.421219,21.585310,-178.675369,19.876871,10.423771,-34.746311,1.871175,168.746521,-42.411621,18.401230,8.534369,-37.557415,-5.234508,168.484192,-41.935043,-82.043846,100.993050,179.954483,21.224051,9.161186,-31.559837,-9.930199,166.878967,-41.462116,78.713203,211.677505,176.008194,19.959539,13.507748,-35.116432,2.338955,159.846786,-41.078480,79.950981,102.157570,179.653976,-80.183151,210.744064,176.999603,,,,,,,,,
22,0.366667,16.575779,2.895277,-7.864931,-2.741960,165.985748,-41.712849,-0.348900,0.107215,0.179809,-2.643568,156.764801,175.576218,173.430252,21.579777,-178.678741,19.876251,10.425252,-34.745811,1.865455,168.744522,-42.402561,18.400404,8.536168,-37.557022,-5.239251,168.480789,-41.926868,-82.043716,100.991859,179.955917,21.223810,9.162292,-31.559649,-9.933849,166.873840,-41.453785,78.713295,211.676239,176.011047,19.958704,13.509268,-35.115562,2.336063,159.844971,-41.069084,79.952454,102.155670,179.657166,-80.182945,210.741501,177.002914,,,,,,,,,
23,0.383333,16.564795,2.892438,-7.852705,-2.746885,165.984451,-41.703156,-0.347946,0.106744,0.179760,-2.642842,156.765823,175.575470,173.445908,21.571465,-178.697784,19.877092,10.428104,-34.743534,1.859846,168.743973,-42.392994,18.401289,8.539017,-37.554764,-5.244787,168.478806,-41.917519,-82.043365,100.992073,179.954193,21.225592,9.165055,-31.557802,-9.938269,166.871292,-41.445251,78.714058,211.677216,176.011887,19.959127,13.512897,-35.112812,2.331994,159.844910,-41.057770,79.951347,102.158150,179.653351,-80.181747,210.742599,177.002762,,,,,,,,,
24,0.400000,16.564159,2.891711,-7.835833,-2.752045,165.983505,-41.694332,-0.348983,0.107237,0.179649,-2.643260,156.766205,175.575195,173.448639,21.567976,-178.692230,19.877565,10.428919,-34.742603,1.853709,168.744476,-42.383888,18.401440,8.540207,-37.553917,-5.250580,168.476837,-41.908562,-82.043472,100.992691,179.955460,21.226103,9.165474,-31.557045,-9.942959,166.868454,-41.437279,78.713760,211.677414,176.009918,19.959663,13.513475,-35.111637,2.327950,159.845490,-41.048527,79.951424,102.158287,179.653687,-80.182411,210.743530,177.002213,,,,,,,,,
25,0.416667,16.550859,2.892096,-7.822977,-2.755787,165.981781,-41.685837,-0.348589,0.107941,0.179697,-2.643354,156.765884,175.575073,173.461121,21.570091,-178.693436,19.876575,10.428349,-34.742054,1.848825,168.743256,-42.375450,18.400591,8.540193,-37.553818,-5.254704,168.474930,-41.901245,-82.043266,100.991463,179.956848,21.225033,9.164267,-31.556713,-9.947016,166.865128,-41.429199,78.713646,211.677200,176.009186,19.958723,13.513172,-35.110432,2.325944,159.844910,-41.038406,79.951118,102.156494,179.653595,-80.182632,210.743622,177.003510,,,,,,,,,
26,0.433333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,0.450000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,0.466667,16.507919,2.873594,-7.803247,-2.759949,165.975876,-41.663094,-0.348352,0.107352,0.179465,-2.643858,156.766495,175.574097,173.477707,21.557468,-178.681183,19.875286,10.429905,-34.737759,1.845871,168.738312,-42.352776,18.398329,8.543113,-37.549927,-5.259745,168.467850,-41.881588,-82.043228,100.990593,179.957886,21.224087,9.164350,-31.553152,-9.950684,166.857269,-41.409550,78.713348,211.677460,176.009262,19.958179,13.514936,-35.104984,2.321130,159.841324,-41.009434,79.950623,102.156326,179.653030,-80.183350,210.746262,176.999588,,,,,,,,,
29,0.483333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,0.500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,0.516667,16.484346,2.873180,-7.815635,-2.765840,165.967087,-41.641071,-0.347312,0.109022,0.179551,-2.643977,156.764679,175.576218,173.509521,21.551222,-178.685013,19.874409,10.432785,-34.733200,1.841460,168.727982,-42.332466,18.397221,8.547413,-37.546196,-5.264702,168.460114,-41.860008,-82.043152,100.991913,179.954987,21.223639,9.165607,-31.549417,-9.956616,166.849197,-41.387558,78.713158,211.675735,176.010010,19.957113,13.518029,-35.098770,2.312928,159.832275,-40.985306,79.950188,102.154877,179.653122,-80.183411,210.741882,177.009399,,,,,,,,,
32,0.533333,16.475765,2.881913,-7.817725,-2.769449,165.964432,-41.632767,-0.347777,0.109192,0.179702,-2.643995,156.765289,175.576523,173.517227,21.547443,-178.685959,19.873720,10.432968,-34.732483,1.837699,168.725174,-42.325089,18.396358,8.547946,-37.545624,-5.268168,168.457626,-41.852127,-82.043022,100.991188,179.957535,21.223173,9.165393,-31.548956,-9.960227,166.846329,-41.377975,78.713005,211.676575,176.009613,19.956230,13.518084,-35.097672,2.309345,159.829788,-40.976883,79.949326,102.156509,179.651733,-80.183235,210.742828,177.009048,,,,,,,,,
33,0.550000,16.459461,2.901687,-7.822834,-2.774814,165.962906,-41.624676,-0.348442,0.109098,0.179794,-2.643824,156.764801,175.575470,173.522537,21.548124,-178.682266,19.872944,10.433194,-34.731400,1.832814,168.723602,-42.319592,18.395523,8.548586,-37.544788,-5.274077,168.455536,-41.843449,-82.041595,100.991165,179.954941,21.222265,9.165169,-31.547997,-9.965719,166.844940,-41.367794,78.713081,211.676208,176.008072,19.955849,13.518578,-35.096191,2.304146,159.828705,-40.968910,79.948029,102.157532,179.649170,-80.183113,210.742188,177.008255,,,,,,,,,
