Format Version,1.22,Take Name,CS1T_tran_000,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 12.05.51.482 PM,Total Frames in Take,78255,Total Exported Frames,19565,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
26,0.433333,-4.581314,-6.263839,-7.130394,2.120412,166.411896,-17.519583,-0.342144,0.091382,0.182208,-2.632047,156.761032,175.572632,-7.780016,-48.581520,-9.326902,17.071674,13.509357,-10.129559
27,0.450000,-4.570318,-6.263668,-7.125192,2.114995,166.412949,-17.515070,-0.341780,0.091710,0.181837,-2.631238,156.759674,175.575134,-7.767043,-48.586079,-9.315305,17.071407,13.509938,-10.128722
28,0.466667,-4.561766,-6.266902,-7.124074,2.110044,166.414352,-17.511389,-0.343101,0.093070,0.182470,-2.633782,156.760132,175.574356,-7.770163,-48.586914,-9.315263,17.071548,13.510741,-10.128299
29,0.483333,,,,,,,,,,,,,,,,,,
30,0.500000,-4.558946,-6.296069,-7.120412,2.102407,166.420303,-17.505413,-0.343604,0.094890,0.182159,-2.635377,156.760803,175.574417,175.529068,48.524868,-174.601578,17.071898,13.512190,-10.129489
31,0.516667,-4.536953,-6.317103,-7.119984,2.099498,166.422623,-17.503687,-0.344369,0.094813,0.182159,-2.636377,156.760010,175.574631,175.539246,48.516159,-174.622696,17.070507,13.512011,-10.130550
32,0.533333,,,,,,,,,,,,,,,,,,
33,0.550000,-4.534905,-6.352418,-7.128409,2.091555,166.423203,-17.501965,-0.339765,0.095804,0.181593,-2.634004,156.761292,175.578979,175.547928,48.515720,-174.640198,17.069202,13.512886,-10.131665
34,0.566667,,,,,,,,,,,,,,,,,,
35,0.583333,,,,,,,,,,,,,,,,,,
36,0.600000,,,,,,,,,,,,,,,,,,
37,0.616667,-4.523592,-6.412842,-7.131207,2.066496,166.419235,-17.510731,-0.344443,0.100586,0.182109,-2.642272,156.759750,175.576981,-7.746674,-48.592373,-9.230816,17.066563,13.513385,-10.136841
38,0.633333,-4.521843,-6.426272,-7.128214,2.058954,166.418640,-17.513828,-0.350380,0.106116,0.181210,-2.647775,156.760162,175.578934,175.532944,48.546902,-174.664932,17.067455,13.515160,-10.139067
39,0.650000,-4.501633,-6.438173,-7.122926,2.052162,166.415359,-17.515591,-0.349911,0.106778,0.181799,-2.648654,156.760712,175.577774,175.534668,48.553822,-174.674561,17.066801,13.514616,-10.140408
40,0.666667,-4.513648,-6.450782,-7.118169,2.041552,166.415314,-17.517187,-0.348194,0.106486,0.181033,-2.648287,156.762558,175.578018,175.530243,48.565563,-174.678314,17.067150,13.514794,-10.141821
41,0.683333,,,,,,,,,,,,,,,,,,
42,0.700000,,,,,,,,,,,,,,,,,,
43,0.716667,-4.494371,-6.458909,-7.070910,2.011181,166.418961,-17.520433,-0.347172,0.106679,0.181351,-2.647343,156.761749,175.578369,175.517807,48.577156,-174.703537,17.067421,13.517180,-10.147384
44,0.733333,,,,,,,,,,,,,,,,,,
45,0.750000,,,,,,,,,,,,,,,,,,
46,0.766667,,,,,,,,,,,,,,,,,,
47,0.783333,,,,,,,,,,,,,,,,,,
48,0.800000,,,,,,,,,,,,,,,,,,
49,0.816667,-4.387079,-6.538657,-7.026145,1.949673,166.444382,-17.535110,-0.348810,0.105595,0.180705,-2.647882,156.761917,175.577057,-7.833495,-48.624744,-9.197179,17.067579,13.519573,-10.154224
50,0.833333,-4.376968,-6.555100,-7.027625,1.941109,166.447433,-17.539906,-0.349419,0.105934,0.180374,-2.647920,156.761841,175.575562,-7.811564,-48.647858,-9.195491,17.065659,13.517824,-10.155314
51,0.850000,-4.365623,-6.570107,-7.024886,1.930878,166.449005,-17.545519,-0.349237,0.105336,0.180192,-2.647729,156.762283,175.576859,175.475342,48.554127,-174.727722,17.067417,13.519456,-10.155753
52,0.866667,,,,,,,,,,,,,,,,,,
53,0.883333,,,,,,,,,,,,,,,,,,
54,0.900000,-4.376637,-6.547269,-6.996294,1.887268,166.449753,-17.566519,-0.344685,0.106169,0.179575,-2.647870,156.763565,175.579575,-7.854807,-48.616077,-9.201582,17.068470,13.519040,-10.157363
55,0.916667,,,,,,,,,,,,,,,,,,
56,0.933333,-4.365659,-6.559224,-6.948940,1.860257,166.449921,-17.583456,-0.347002,0.108454,0.180121,-2.648519,156.762939,175.578171,-7.847004,-48.645550,-9.202244,17.066864,13.517703,-10.160171
57,0.950000,-4.366921,-6.565001,-6.935027,1.846396,166.450500,-17.593552,-0.347425,0.107658,0.180466,-2.648479,156.762253,175.576294,-7.839245,-48.641617,-9.183792,17.067219,13.518121,-10.161185
58,0.966667,-4.371901,-6.575830,-6.923745,1.834797,166.450745,-17.602608,-0.347070,0.107870,0.180507,-2.649909,156.762741,175.575760,-7.857196,-48.635689,-9.194515,17.066711,13.518002,-10.162959
59,0.983333,,,,,,,,,,,,,,,,,,
60,1.000000,-4.376353,-6.572743,-6.893244,1.810665,166.451355,-17.620680,-0.348070,0.107125,0.180127,-2.648572,156.761734,175.575485,-7.863853,-48.644413,-9.181146,17.066368,13.517015,-10.166783
61,1.016667,-4.369805,-6.575511,-6.872969,1.797084,166.450989,-17.630283,-0.347758,0.107313,0.179850,-2.648800,156.761063,175.577408,-7.865365,-48.648315,-9.176771,17.066673,13.516818,-10.168457
62,1.033333,-4.365311,-6.575541,-6.849358,1.783446,166.450562,-17.639753,-0.336504,0.089772,0.182100,-2.634602,156.759583,175.568939,-7.878729,-48.641129,-9.177810,17.067066,13.517138,-10.170755
63,1.050000,,,,,,,,,,,,,,,,,,
64,1.066667,-4.365404,-6.576707,-6.813308,1.753434,166.451614,-17.661322,-0.313558,0.028063,0.182740,-2.554487,156.773315,175.560333,-7.877637,-48.647442,-9.163178,17.066662,13.517130,-10.173675
65,1.083333,,,,,,,,,,,,,,,,,,
66,1.100000,-4.346848,-6.606894,-6.766650,1.737649,166.453857,-17.682587,-0.326584,0.057824,0.182072,-2.591849,156.768478,175.564407,-7.887826,-48.648853,-9.165673,17.066345,13.517306,-10.176218
67,1.116667,,,,,,,,,,,,,,,,,,
68,1.133333,-4.345697,-6.692419,-6.739552,1.737203,166.451599,-17.701096,-0.342042,0.078251,0.178042,-2.599271,156.778381,175.579147,-7.879394,-48.638748,-9.151254,17.065615,13.515997,-10.177037
69,1.150000,,,,,,,,,,,,,,,,,,
70,1.166667,-4.359468,-6.752529,-6.714455,1.733511,166.448059,-17.714743,-0.324879,0.059269,0.181851,-2.591352,156.768829,175.567596,-7.883344,-48.642941,-9.157615,17.065834,13.515989,-10.176915
71,1.183333,,,,,,,,,,,,,,,,,,
72,1.200000,-4.349675,-6.746649,-6.667083,1.716130,166.449875,-17.728844,-0.371656,0.115113,0.170233,-2.615905,156.792297,175.602798,-7.888328,-48.636917,-9.151015,17.066074,13.517191,-10.178323
73,1.216667,,,,,,,,,,,,,,,,,,
74,1.233333,-4.345366,-6.680698,-6.642426,1.686157,166.457062,-17.745348,-0.328970,0.067829,0.181348,-2.599122,156.767685,175.573425,-7.901891,-48.638840,-9.149055,17.065626,13.517770,-10.180356
75,1.250000,-4.330182,-6.639461,-6.646109,1.669854,166.462280,-17.754688,-0.336357,0.071102,0.179866,-2.597141,156.772537,175.575439,-7.912379,-48.632107,-9.151489,17.065569,13.518171,-10.181669
76,1.266667,,,,,,,,,,,,,,,,,,
77,1.283333,,,,,,,,,,,,,,,,,,
78,1.300000,-4.258642,-6.584095,-6.661463,1.646147,166.473251,-17.784050,-0.356063,0.094812,0.174484,-2.606854,156.783524,175.591782,-7.920023,-48.630951,-9.158002,17.064644,13.517702,-10.184685
79,1.316667,,,,,,,,,,,,,,,,,,
80,1.333333,,,,,,,,,,,,,,,,,,
81,1.350000,,,,,,,,,,,,,,,,,,
82,1.366667,,,,,,,,,,,,,,,,,,
83,1.383333,,,,,,,,,,,,,,,,,,
84,1.400000,-4.232180,-6.616619,-6.674305,1.642541,166.481476,-17.854624,-0.353941,0.106772,0.179712,-2.649105,156.762344,175.574554,-7.953334,-48.563313,-9.174149,17.061256,13.515541,-10.189874
85,1.416667,,,,,,,,,,,,,,,,,,
86,1.433333,-4.201788,-6.630310,-6.656678,1.651919,166.487366,-17.878435,-0.346196,0.107218,0.179118,-2.649365,156.761749,175.580139,-7.970019,-48.570522,-9.175268,17.062574,13.515586,-10.192263
87,1.450000,-4.189619,-6.634517,-6.664180,1.659568,166.490463,-17.890177,-0.350498,0.107485,0.179542,-2.648757,156.761627,175.576233,-8.001387,-48.570755,-9.203017,17.063364,13.514985,-10.193810
88,1.466667,-4.183188,-6.643729,-6.681489,1.668751,166.492157,-17.902590,-0.348184,0.108047,0.179779,-2.648609,156.762238,175.577576,-8.020553,-48.578220,-9.209625,17.063721,13.514726,-10.195695
89,1.483333,-4.182785,-6.645301,-6.710951,1.678631,166.493637,-17.915329,-0.350365,0.107334,0.180197,-2.648948,156.761581,175.578339,-8.026660,-48.586143,-9.207023,17.064037,13.514648,-10.197959
90,1.500000,-4.178916,-6.648733,-6.740776,1.688809,166.494125,-17.928492,-0.348280,0.105627,0.179806,-2.648851,156.759949,175.579514,-8.034349,-48.580330,-9.197651,17.063026,13.513534,-10.200339
91,1.516667,,,,,,,,,,,,,,,,,,
92,1.533333,,,,,,,,,,,,,,,,,,
93,1.550000,-4.142387,-6.591209,-6.828257,1.706042,166.493500,-17.974916,-0.349219,0.106959,0.179939,-2.649544,156.760391,175.579422,-8.052929,-48.580063,-9.187963,17.062122,13.510980,-10.206808
94,1.566667,,,,,,,,,,,,,,,,,,
