Format Version,1.22,Take Name,CS1_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-02 11.20.45.254 AM,Total Frames in Take,1053,Total Exported Frames,264,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-7.405913,43.115093,0.539690,-13.279361,166.733795,-0.956841,-0.356342,0.099687,0.176673,-2.647750,156.770569,175.582504,177.151672,29.831749,-179.607544,16.295620,14.846195,0.173379,-10.994558,169.359879,-5.149825,15.339750,13.137041,-2.914380,-15.995754,168.793961,-0.134267,-82.039375,101.012924,179.936478,17.286558,13.498465,3.415032,-18.794851,167.198364,3.725843,78.712029,211.677689,176.020905,16.277176,17.922016,0.016561,-7.355827,161.581940,-2.246112,79.928719,102.161919,179.664703,-80.180420,210.746735,176.990189,19.721287,172.664978,-3.594297,5.430671,176.804916,2.854145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.116667,-7.378717,43.105770,0.515848,-13.270418,166.737427,-0.967191,-0.355292,0.099072,0.176565,-2.648225,156.771317,175.580063,177.142654,29.832275,-179.604279,16.296629,14.845544,0.172866,-10.984040,169.363647,-5.159216,15.340835,13.136098,-2.914552,-15.986400,168.798203,-0.144769,-82.040237,101.013161,179.933746,17.287491,13.498314,3.414515,-18.786716,167.202652,3.714477,78.711655,211.678284,176.020355,16.278122,17.921124,0.015726,-7.348402,161.584091,-2.255940,79.929367,102.162674,179.661987,-80.181725,210.748291,176.987427,19.731939,172.662872,-3.592259,5.441622,176.803619,2.851290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.133333,-7.391336,43.246597,0.589938,-13.250251,166.738541,-0.971527,-0.353651,0.099188,0.176190,-2.646576,156.770767,175.585022,177.136963,29.841616,-179.603088,16.297644,14.845239,0.171000,-10.976233,169.368973,-5.167640,15.342389,13.135664,-2.916629,-15.965392,168.797089,-0.140788,-82.039436,101.012268,179.936172,17.288313,13.498506,3.413121,-18.754837,167.197250,3.724547,78.713661,211.677200,176.026733,16.278715,17.920408,0.013597,-7.326564,161.589981,-2.280575,79.929398,102.160896,179.666763,-80.179306,210.748123,176.997757,19.746580,172.664810,-3.585142,5.452221,176.804214,2.850801,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.150000,-7.345696,43.186279,0.547439,-13.240865,166.743744,-0.986389,-0.355628,0.099335,0.176598,-2.646473,156.770523,175.582260,177.114059,29.839848,-179.593750,16.297926,14.843959,0.168382,-10.961121,169.374466,-5.179207,15.342731,13.133889,-2.918667,-15.956104,168.803131,-0.158078,-82.039185,101.012421,179.934738,17.288744,13.498384,3.410877,-18.750494,167.203293,3.703687,78.713371,211.677551,176.021866,16.278936,17.918600,0.010003,-7.317605,161.593170,-2.290428,79.930000,102.162376,179.664566,-80.179588,210.746796,176.993652,19.762472,172.669525,-3.576285,5.463420,176.804306,2.850854,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.166667,-7.304796,43.156563,0.516250,-13.230771,166.746964,-0.999599,-0.356101,0.098931,0.176408,-2.647245,156.770157,175.582199,177.082153,29.853603,-179.583527,16.298845,14.843704,0.166266,-10.947795,169.378357,-5.190230,15.342842,13.131460,-2.920773,-15.945803,168.806961,-0.172120,-82.040337,101.012436,179.935242,17.291328,13.501803,3.409721,-18.742899,167.206711,3.687518,78.712769,211.676910,176.021912,16.279011,17.916969,0.006784,-7.308927,161.594910,-2.301598,79.930115,102.160606,179.667618,-80.180069,210.746475,176.991135,19.777340,172.670670,-3.569746,5.472162,176.802536,2.851260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,0.183333,-7.264745,43.116497,0.479423,-13.222840,166.748734,-1.011996,-0.357607,0.099307,0.176614,-2.647070,156.769714,175.583099,177.067810,29.858727,-179.577988,16.299871,14.841916,0.164285,-10.935719,169.380356,-5.200224,15.344235,13.129349,-2.922557,-15.937718,168.809525,-0.186026,-82.040558,101.012894,179.936432,17.291651,13.500290,3.408296,-18.738323,167.209351,3.671090,78.712746,211.676758,176.020844,16.280233,17.915112,0.004087,-7.302127,161.594833,-2.310699,79.930618,102.160263,179.670425,-80.179344,210.744736,176.991684,19.790983,172.660370,-3.558558,5.480525,176.798111,2.851570,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,0.200000,-7.248822,43.074738,0.447207,-13.217124,166.748581,-1.024363,-0.359530,0.098538,0.176323,-2.646912,156.769592,175.580246,177.061157,29.864647,-179.579071,16.300293,14.839827,0.162786,-10.925929,169.379059,-5.211095,15.345170,13.126965,-2.923889,-15.931993,168.810333,-0.200716,-82.040230,101.013275,179.935043,17.291986,13.498850,3.406951,-18.736088,167.211441,3.654398,78.713173,211.676270,176.017227,16.280293,17.912731,0.002258,-7.296788,161.592606,-2.318114,79.930138,102.161743,179.666656,-80.179573,210.745789,176.984573,19.799559,172.642944,-3.551888,5.487764,176.794464,2.850151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,0.216667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,0.233333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,0.250000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
