Format Version,1.22,Take Name,CS2_tran,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-03 11.12.42.571 AM,Total Frames in Take,1202,Total Exported Frames,301,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,-11.523745,48.568687,0.525015,-11.447160,166.464035,-19.884199,-0.368019,0.083711,0.179645,-2.638235,156.808212,175.587769,174.652557,-51.115150,-2.230529,17.983906,14.017730,-14.962453,-9.530801,168.714661,-24.424019,17.666473,15.352013,-18.355728,-14.048166,168.629150,-18.964022,-81.996254,101.081291,179.871674,18.209127,15.767876,-11.760417,-16.490690,167.365952,-14.754545,78.718475,211.719772,176.037659,18.092632,10.952024,-14.771244,-5.749788,161.142761,-21.368977,79.871361,102.263138,179.570190,-80.149460,210.759872,176.927765,20.958557,169.929047,-24.717981,8.111273,175.456543,-17.884302,,,,,,,,,,,,
7,0.116667,-11.538456,48.561806,0.536155,-11.452261,166.461578,-19.890564,-0.367292,0.083824,0.179850,-2.638498,156.808167,175.587158,174.649872,-51.115654,-2.236880,17.983509,14.018342,-14.962523,-9.536486,168.712570,-24.431080,17.666172,15.352999,-18.355888,-14.053677,168.626404,-18.970867,-81.995659,101.081467,179.870743,18.208426,15.768126,-11.760361,-16.496397,167.363312,-14.761474,78.718018,211.720032,176.037582,18.092726,10.952865,-14.771313,-5.753491,161.140152,-21.373419,79.871201,102.262520,179.568573,-80.149345,210.759277,176.925385,20.950665,169.924210,-24.719419,8.100737,175.456375,-17.890327,,,,,,,,,,,,
8,0.133333,-11.543693,48.544594,0.537847,-11.458078,166.459076,-19.896210,-0.368723,0.083707,0.179992,-2.638555,156.807892,175.588791,174.647812,-51.120987,-2.236758,17.982708,14.018029,-14.962405,-9.541268,168.710251,-24.436701,17.665091,15.352556,-18.355602,-14.059933,168.623764,-18.977419,-81.997414,101.079712,179.875534,18.208200,15.768203,-11.760445,-16.503775,167.360764,-14.768648,78.717819,211.719986,176.037994,18.091497,10.952165,-14.771173,-5.758038,161.137695,-21.376917,79.871834,102.262901,179.571960,-80.149414,210.758972,176.926071,20.943691,169.925201,-24.714878,8.091540,175.459534,-17.892763,,,,,,,,,,,,
9,0.150000,-11.553371,48.517609,0.552562,-11.463852,166.457977,-19.903709,-0.367711,0.083439,0.180013,-2.639079,156.808823,175.586273,174.656830,-51.109631,-2.234294,17.982460,14.018191,-14.961949,-9.544353,168.708496,-24.442047,17.665430,15.353006,-18.354992,-14.066664,168.621964,-18.985979,-81.996529,101.080643,179.871780,18.207268,15.767921,-11.759725,-16.511976,167.358215,-14.778282,78.717270,211.720947,176.036835,18.091471,10.952600,-14.771131,-5.762926,161.139771,-21.383568,79.871666,102.263023,179.569870,-80.150352,210.760590,176.923187,20.942215,169.937088,-24.705961,8.083608,175.463867,-17.891098,,,,,,,,,,,,
10,0.166667,-11.550608,48.481392,0.550909,-11.467431,166.457413,-19.909405,-0.368706,0.083645,0.179860,-2.638839,156.807251,175.587006,174.649658,-51.108360,-2.244118,17.982227,14.018874,-14.961982,-9.545263,168.708496,-24.447119,17.665266,15.353907,-18.355186,-14.071047,168.621094,-18.993240,-81.996902,101.079193,179.873032,18.206955,15.768695,-11.759634,-16.518843,167.356979,-14.787102,78.717659,211.719131,176.036316,18.091339,10.953012,-14.771126,-5.764495,161.139511,-21.385756,79.871468,102.261436,179.571716,-80.150238,210.759003,176.925674,20.942011,169.950562,-24.688684,8.076778,175.469406,-17.885702,,,,,,,,,,,,
11,0.183333,-11.532050,48.437454,0.535838,-11.470960,166.458206,-19.914186,-0.367071,0.083108,0.179771,-2.638271,156.807541,175.589294,174.631165,-51.116577,-2.264538,17.981958,14.019160,-14.962682,-9.545575,168.709824,-24.449678,17.664137,15.353971,-18.355911,-14.075258,168.621811,-18.999794,-81.996521,101.080742,179.870605,18.206608,15.768969,-11.760470,-16.526382,167.357208,-14.795741,78.718307,211.719299,176.040939,18.091852,10.953418,-14.771663,-5.767208,161.140396,-21.386534,79.872604,102.261063,179.575058,-80.150032,210.758728,176.931000,20.944481,169.958450,-24.664804,8.072408,175.473892,-17.874428,,,,,,,,,,,,
12,0.200000,-11.514514,48.385998,0.520339,-11.472447,166.460754,-19.918972,-0.369254,0.083357,0.179875,-2.638425,156.807770,175.588577,174.633850,-51.121174,-2.255369,17.980526,14.018591,-14.963736,-9.543447,168.712646,-24.452108,17.662514,15.353048,-18.356981,-14.077589,168.624252,-19.006741,-81.996880,101.079178,179.874969,18.205313,15.768376,-11.761775,-16.532560,167.359207,-14.805067,78.718063,211.719696,176.037781,18.090639,10.953400,-14.772442,-5.767362,161.143051,-21.386532,79.871735,102.261963,179.575104,-80.149734,210.759491,176.927658,20.945873,169.957916,-24.637974,8.068744,175.476639,-17.859510,,,,,,,,,,,,
13,0.216667,-11.495651,48.333885,0.495167,-11.472859,166.463852,-19.922388,-0.367766,0.083428,0.180070,-2.638323,156.807831,175.587921,174.614594,-51.128548,-2.273153,17.980101,14.018390,-14.964239,-9.539482,168.715195,-24.452934,17.661175,15.352323,-18.357681,-14.078639,168.627625,-19.012629,-81.995811,101.080772,179.870560,18.205267,15.768722,-11.762360,-16.537731,167.362839,-14.813288,78.717972,211.720016,176.038452,18.090734,10.953155,-14.772677,-5.767179,161.145920,-21.384850,79.871658,102.262688,179.570953,-80.149521,210.758423,176.926773,20.948421,169.957657,-24.608982,8.066925,175.478180,-17.838934,,,,,,,,,,,,
14,0.233333,-11.465674,48.270882,0.469607,-11.470940,166.465759,-19.923996,-0.367537,0.082501,0.179765,-2.637664,156.807526,175.587463,174.612762,-51.126865,-2.275096,17.979918,14.018106,-14.965110,-9.532245,168.717743,-24.451998,17.661549,15.352496,-18.358490,-14.077598,168.629547,-19.016788,-81.996231,101.078728,179.872726,18.204632,15.768178,-11.763350,-16.541552,167.364136,-14.820486,78.718910,211.719269,176.039536,18.090353,10.952592,-14.773464,-5.763848,161.147675,-21.381012,79.873093,102.261665,179.572433,-80.148712,210.759903,176.924652,20.957403,169.960907,-24.573124,8.067393,175.479858,-17.814648,,,,,,,,,,,,
15,0.250000,-11.456906,48.215843,0.470289,-11.466550,166.466690,-19.921680,-0.368575,0.083009,0.179722,-2.637893,156.807449,175.587509,174.613068,-51.125256,-2.276373,17.980215,14.018001,-14.965431,-9.524994,168.719894,-24.447027,17.661676,15.352225,-18.358816,-14.074490,168.629807,-19.016573,-81.997055,101.079712,179.872131,18.204882,15.768064,-11.763584,-16.542135,167.363220,-14.822793,78.718742,211.719131,176.037857,18.090891,10.952689,-14.773878,-5.757104,161.149673,-21.373665,79.872604,102.263046,179.572052,-80.148979,210.759018,176.926498,20.971264,169.968277,-24.532391,8.068488,175.482697,-17.789206,,,,,,,,,,,,
