Format Version,1.22,Take Name,BRS2 Stand10min,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 02.59.21.496 PM,Total Frames in Take,79990,Total Exported Frames,19998,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.300000,18.654312,-3.340816,5.859921,-2.939428,165.454941,-14.463507,-0.077770,0.916852,0.361417,1.692595,155.794006,174.701431,-9.984942,-32.405006,-14.038658,15.377186,13.289764,-13.600725
19,0.316667,18.632732,-3.344628,5.830471,-2.934201,165.452438,-14.502892,-0.078472,0.915789,0.361824,1.692232,155.794174,174.700348,-9.995551,-32.406059,-14.030919,15.376113,13.289001,-13.603839
20,0.333333,18.632854,-3.364787,5.831392,-2.929317,165.449997,-14.539759,-0.078605,0.915515,0.361575,1.692146,155.794464,174.700943,-9.989295,-32.423656,-14.032116,15.375665,13.289065,-13.606336
21,0.350000,18.625303,-3.385947,5.843271,-2.926268,165.447876,-14.571873,-0.075542,0.915122,0.361302,1.692429,155.795074,174.701218,-9.979609,-32.424877,-14.023289,15.375005,13.288644,-13.607104
22,0.366667,18.625521,-3.382848,5.834663,-2.926001,165.447662,-14.601749,-0.078128,0.916777,0.361284,1.692891,155.794464,174.701035,-9.974610,-32.414398,-14.009926,15.373269,13.286967,-13.607102
23,0.383333,18.616528,-3.367505,5.825485,-2.925202,165.449448,-14.627619,-0.078130,0.917046,0.361331,1.692564,155.794922,174.701294,-9.952999,-32.427933,-14.008312,15.374045,13.287730,-13.607075
24,0.400000,18.635578,-3.365265,5.822694,-2.926165,165.453033,-14.651171,-0.078803,0.915813,0.361082,1.692540,155.795227,174.701294,-9.938198,-32.421616,-13.996288,15.372631,13.286249,-13.605926
25,0.416667,18.680607,-3.366117,5.813739,-2.928786,165.458405,-14.673912,-0.078848,0.914901,0.361191,1.692484,155.795685,174.699631,-9.811078,-32.352261,-13.896551,15.370067,13.279872,-13.607568
26,0.433333,18.719728,-3.366572,5.816635,-2.931664,165.466232,-14.695443,-0.079437,0.916427,0.361065,1.692273,155.794937,174.700562,-9.739138,-32.316116,-13.851883,15.369937,13.275848,-13.607841
27,0.450000,18.762833,-3.359649,5.821549,-2.936757,165.475845,-14.716236,-0.077304,0.917062,0.360583,1.692593,155.794342,174.702316,-9.728212,-32.325241,-13.850806,15.370123,13.275063,-13.606374
28,0.466667,18.812019,-3.346685,5.822176,-2.944475,165.486771,-14.737175,-0.079176,0.915651,0.361094,1.692443,155.794159,174.701721,-9.726295,-32.316414,-13.844695,15.368589,13.273203,-13.605082
29,0.483333,18.855648,-3.322914,5.832190,-2.952088,165.500107,-14.757321,-0.082325,0.915362,0.361492,1.692267,155.794220,174.698807,-9.717247,-32.339397,-13.857861,15.370621,13.274382,-13.604744
30,0.500000,18.899452,-3.305215,5.845845,-2.960927,165.515625,-14.777997,-0.078257,0.915988,0.360694,1.692552,155.795410,174.701035,-9.716583,-32.347992,-13.866194,15.371041,13.274299,-13.604119
31,0.516667,18.975449,-3.306778,5.856519,-2.969533,165.530853,-14.800761,-0.078229,0.915886,0.360588,1.692969,155.795700,174.703140,-9.719729,-32.349243,-13.868371,15.371535,13.274384,-13.604426
32,0.533333,19.037457,-3.325843,5.878188,-2.977223,165.544693,-14.824375,-0.078299,0.916464,0.361448,1.692457,155.795197,174.703003,-9.727917,-32.345177,-13.871056,15.372656,13.274468,-13.605240
33,0.550000,19.075890,-3.350958,5.893338,-2.984072,165.554367,-14.850335,-0.076748,0.916376,0.360586,1.693182,155.795364,174.703018,-9.738025,-32.341625,-13.880005,15.373665,13.274354,-13.606016
34,0.566667,19.083649,-3.373774,5.913801,-2.987974,165.558334,-14.875672,-0.076938,0.917157,0.360798,1.693750,155.794861,174.704407,-9.751295,-32.344448,-13.886698,15.374067,13.273658,-13.607493
35,0.583333,19.075916,-3.398134,5.929991,-2.991675,165.558350,-14.899771,-0.077309,0.917511,0.360887,1.693360,155.794632,174.704437,-9.754942,-32.337944,-13.880180,15.374547,13.273070,-13.609034
36,0.600000,19.043730,-3.401786,5.939573,-2.996272,165.556152,-14.924780,-0.077425,0.916441,0.360614,1.693351,155.794327,174.703506,-9.757983,-32.373219,-13.852983,15.375564,13.271186,-13.610317
37,0.616667,19.041376,-3.415847,5.946258,-3.003643,165.554535,-14.950542,-0.078477,0.916266,0.361346,1.693240,155.793869,174.703903,-9.766999,-32.375534,-13.858337,15.376266,13.270396,-13.611412
