Format Version,1.22,Take Name,BJS2 stand10min,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.47.42.947 PM,Total Frames in Take,76769,Total Exported Frames,19193,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
8402,140.033333,4.081220,-3.451927,6.510383,-3.340652,157.245010,-22.105778,-0.044508,0.862042,0.369425,1.748770,155.789566,174.675278,-9.462028,-27.728548,-6.386122,19.153795,8.158568,-14.178472
8403,140.050000,4.116882,-3.468886,6.515801,-3.348544,157.229736,-22.129927,-0.043659,0.863478,0.369410,1.748876,155.790070,174.674759,-9.614359,-27.638973,-6.257030,19.145803,8.169122,-14.216465
8404,140.066667,4.128252,-3.496289,6.520990,-3.354239,157.212677,-22.152607,-0.042074,0.863210,0.369592,1.749066,155.790405,174.676697,-9.774650,-27.535776,-6.176367,19.136688,8.172713,-14.255108
8405,140.083333,4.153747,-3.537417,6.532736,-3.360407,157.196457,-22.175436,-0.040820,0.863844,0.368923,1.749056,155.791077,174.679230,-9.949530,-27.473150,-6.101347,19.140011,8.183229,-14.290296
8406,140.100000,4.191844,-3.583329,6.540802,-3.367606,157.180740,-22.199471,-0.046033,0.863332,0.369585,1.748012,155.790054,174.674210,-10.102398,-27.374250,-5.988465,19.138706,8.189637,-14.325221
8407,140.116667,4.212729,-3.625890,6.551665,-3.373333,157.165756,-22.222212,-0.043479,0.863509,0.368863,1.748003,155.790619,174.675735,-10.209022,-27.318073,-5.914737,19.130726,8.191548,-14.357572
8408,140.133333,4.200150,-3.648903,6.568370,-3.379196,157.152679,-22.242788,-0.043398,0.863662,0.369196,1.749112,155.789856,174.674225,-10.364305,-27.233170,-5.914256,19.126709,8.195723,-14.384601
8409,140.150000,4.197494,-3.664483,6.590154,-3.388660,157.141418,-22.263515,-0.045847,0.862495,0.369390,1.748356,155.789444,174.674088,-10.408652,-27.177973,-5.807420,19.125740,8.201709,-14.404914
8410,140.166667,4.211644,-3.698509,6.614745,-3.401036,157.132599,-22.284357,-0.043609,0.864012,0.369026,1.749315,155.789474,174.678070,-10.469094,-27.130129,-5.777982,19.125839,8.205837,-14.420841
8411,140.183333,4.216395,-3.712912,6.640633,-3.414059,157.125046,-22.301228,-0.043307,0.863332,0.369080,1.749456,155.790359,174.677032,-10.518200,-27.109562,-5.768324,19.124166,8.207433,-14.432722
8412,140.200000,4.208458,-3.720044,6.666770,-3.428452,157.118515,-22.314339,-0.042812,0.864333,0.369319,1.748996,155.789688,174.678940,-10.505621,-27.076336,-5.748305,19.122862,8.205955,-14.440526
8413,140.216667,4.199564,-3.723966,6.689337,-3.444752,157.114624,-22.326105,-0.043667,0.864401,0.369787,1.748836,155.789398,174.676834,-10.480975,-27.042953,-5.753647,19.124565,8.206040,-14.440915
8414,140.233333,4.180225,-3.729012,6.705810,-3.461021,157.112061,-22.334078,-0.040892,0.864508,0.369866,1.749088,155.788910,174.679382,-10.426458,-27.047075,-5.772591,19.126150,8.205176,-14.433949
8415,140.250000,4.168311,-3.746767,6.721181,-3.476699,157.112473,-22.339981,-0.042103,0.864764,0.369847,1.749054,155.789612,174.677628,-10.349474,-27.031630,-5.788241,19.130117,8.204659,-14.421863
8416,140.266667,4.168638,-3.773198,6.731060,-3.492324,157.113785,-22.343527,-0.044414,0.863304,0.369798,1.748516,155.789612,174.676605,-10.261590,-27.066635,-5.837852,19.131138,8.200609,-14.405173
8417,140.283333,4.166953,-3.783397,6.737556,-3.509107,157.115906,-22.345201,-0.042228,0.865070,0.369723,1.748730,155.790573,174.677246,-10.194400,-27.099794,-5.936130,19.132391,8.194715,-14.387351
8418,140.300000,4.171843,-3.790446,6.733341,-3.527675,157.117004,-22.345634,-0.042027,0.865078,0.369731,1.748925,155.789520,174.677170,-10.031032,-27.164194,-5.949115,19.134382,8.191137,-14.363059
8419,140.316667,4.170340,-3.773479,6.725268,-3.549402,157.116257,-22.344170,-0.044379,0.863019,0.369907,1.747925,155.789551,174.675186,-9.944917,-27.244007,-6.017785,19.137119,8.189670,-14.336145
8420,140.333333,4.156035,-3.754958,6.707282,-3.573913,157.114136,-22.341391,-0.041846,0.864208,0.369786,1.748894,155.789993,174.677643,-9.819871,-27.289541,-6.086416,19.141586,8.190702,-14.309525
8421,140.350000,4.127791,-3.715541,6.680491,-3.603038,157.109299,-22.338299,-0.043325,0.864357,0.369547,1.748194,155.790359,174.675339,-9.707585,-27.371840,-6.170681,19.137102,8.182534,-14.281618
8422,140.366667,4.082556,-3.673044,6.653532,-3.633919,157.101990,-22.334057,-0.044437,0.864648,0.369726,1.748077,155.789307,174.674789,-9.647986,-27.465857,-6.301619,19.138313,8.177505,-14.256087
8423,140.383333,4.055102,-3.625605,6.636732,-3.665019,157.093658,-22.328186,-0.043859,0.864840,0.369338,1.747681,155.790405,174.676270,-9.538207,-27.574421,-6.280216,19.144163,8.182528,-14.230953
8424,140.400000,4.042437,-3.588432,6.609018,-3.693662,157.085342,-22.323086,-0.044468,0.865227,0.369338,1.747368,155.790802,174.672897,-9.478235,-27.600029,-6.301689,19.143517,8.180101,-14.217025
8425,140.416667,4.037637,-3.544862,6.583334,-3.721915,157.076981,-22.318516,-0.045463,0.864603,0.369718,1.748192,155.789429,174.673447,-9.446826,-27.616682,-6.314122,19.141125,8.178971,-14.210261
8426,140.433333,4.015213,-3.502369,6.552847,-3.748384,157.068237,-22.314775,-0.041256,0.863574,0.368810,1.748450,155.789810,174.676651,-9.433873,-27.607113,-6.301364,19.139290,8.179402,-14.209804
8427,140.450000,3.995979,-3.466345,6.524437,-3.773128,157.058685,-22.311289,-0.043402,0.864725,0.369355,1.748601,155.789398,174.676468,-9.449244,-27.582693,-6.274817,19.137945,8.181472,-14.214240
8428,140.466667,3.970647,-3.440753,6.496753,-3.794333,157.050003,-22.307102,-0.040847,0.864847,0.369635,1.748123,155.789047,174.677719,-9.492964,-27.582777,-6.260177,19.136984,8.184258,-14.220784
8429,140.483333,3.959726,-3.443236,6.466497,-3.812998,157.041702,-22.303339,-0.042412,0.864124,0.370163,1.748144,155.788528,174.676270,-9.540351,-27.562923,-6.233780,19.136204,8.187065,-14.230296
8430,140.500000,3.954037,-3.447837,6.445356,-3.826906,157.035019,-22.299969,-0.043765,0.863801,0.369692,1.748356,155.788666,174.675903,-9.605087,-27.525892,-6.205365,19.134760,8.189869,-14.244112
8431,140.516667,3.942787,-3.462715,6.438344,-3.837403,157.027374,-22.296003,-0.042757,0.863196,0.369452,1.748443,155.789703,174.674637,-9.654975,-27.441765,-6.149856,19.125956,8.187911,-14.263077
