Format Version,1.22,Take Name,pm2_tran_004,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-16 11.01.39.107 AM,Total Frames in Take,1017,Total Exported Frames,255,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
6,0.100000,4.529243,3.292686,-5.423325,-4.241163,176.100449,-16.949713,-0.331161,0.061433,0.180011,-2.595243,156.780640,175.561874,-172.295319,-52.928997,6.257510,15.230292,16.766499,-15.214589,0.235702,178.844025,-18.196392,14.946961,18.497772,-18.426109,-6.840140,178.389511,-17.665348,-81.851662,101.076416,179.643478,15.703557,18.114824,-11.852632,-11.453252,176.720291,-16.863310,78.760788,211.692627,176.078720,15.057260,13.704639,-15.364240,1.090856,170.449509,-15.075291,79.927719,102.180611,179.619354,-80.181259,210.748810,176.989105,,,,,,,,,,,,,,,,,,
7,0.116667,4.534029,3.284485,-5.424405,-4.239299,176.099716,-16.954582,-0.332065,0.061302,0.180877,-2.595538,156.779617,175.562866,-172.291107,-52.926102,6.262246,15.230446,16.766068,-15.214149,0.236991,178.842850,-18.200006,14.947033,18.497074,-18.425545,-6.837466,178.388977,-17.670609,-81.851120,101.074265,179.645172,15.703583,18.114313,-11.852260,-11.451749,176.719803,-16.869221,78.759651,211.692856,176.079025,15.057604,13.704588,-15.363889,1.092530,170.448654,-15.080094,79.927650,102.181175,179.620224,-80.181465,210.746078,176.987457,,,,,,,,,,,,,,,,,,
8,0.133333,4.529660,3.277268,-5.426041,-4.236420,176.098816,-16.959221,-0.332549,0.060983,0.180425,-2.595450,156.778534,175.564545,-172.292511,-52.924755,6.262182,15.231121,16.766047,-15.214393,0.240566,178.841583,-18.204308,14.947712,18.496986,-18.426031,-6.835198,178.388077,-17.675465,-81.851486,101.073814,179.646866,15.703927,18.114109,-11.852407,-11.449130,176.719528,-16.875154,78.760170,211.691116,176.080673,15.058512,13.704740,-15.363966,1.095673,170.447586,-15.083462,79.927460,102.180244,179.621170,-80.180779,210.745270,176.986832,20.430256,178.531036,7.202649,,,,,,,,,,,,,,,
9,0.150000,4.529196,3.265597,-5.431963,-4.233543,176.097183,-16.963934,-0.332577,0.061836,0.180304,-2.596593,156.778519,175.563202,-172.293503,-52.922108,6.261539,15.231352,16.765789,-15.214954,0.244263,178.838974,-18.207809,14.948262,18.496811,-18.426497,-6.831798,178.386688,-17.680540,-81.852707,101.073982,179.646729,15.703953,18.113865,-11.853080,-11.446638,176.718796,-16.881329,78.759155,211.690933,176.078110,15.058583,13.704340,-15.364519,1.097678,170.445770,-15.087348,79.927345,102.179123,179.621841,-80.182983,210.745651,176.990280,20.427834,178.530045,7.204813,,,,,,,,,,,,,,,
10,0.166667,4.546826,3.259396,-5.442523,-4.233977,176.095917,-16.968021,-0.334800,0.061292,0.180649,-2.595876,156.777054,175.564041,-172.301178,-52.928089,6.256199,15.232329,16.765509,-15.215235,0.244855,178.837402,-18.210936,14.948848,18.496313,-18.426777,-6.831197,178.385773,-17.683720,-81.851692,101.072220,179.648972,15.705156,18.113842,-11.853524,-11.446294,176.718521,-16.885698,78.759544,211.689972,176.077576,15.059781,13.704056,-15.364610,1.094420,170.443573,-15.093273,79.926781,102.178978,179.623413,-80.181274,210.743423,176.986130,20.425785,178.526489,7.205028,,,,,,,,,,,,,,,
11,0.183333,4.546230,3.255082,-5.446754,-4.234663,176.096588,-16.971159,-0.331425,0.061140,0.180147,-2.595469,156.778641,175.565369,-172.298203,-52.926563,6.259797,15.231816,16.765278,-15.215794,0.244416,178.837448,-18.213388,14.948493,18.496059,-18.427158,-6.831623,178.386429,-17.687288,-81.851784,101.074242,179.646805,15.704762,18.113729,-11.854208,-11.446742,176.719833,-16.889194,78.760422,211.690811,176.082367,15.059154,13.703852,-15.365213,1.093011,170.444244,-15.096360,79.927284,102.179359,179.622742,-80.181442,210.746384,176.992111,20.423513,178.519577,7.202280,,,,,,,,,,,,,,,
12,0.200000,4.543449,3.258959,-5.442871,-4.235487,176.097641,-16.974159,-0.332648,0.061136,0.180057,-2.595503,156.778137,175.563553,-172.301132,-52.933434,6.260759,15.231760,16.765251,-15.216387,0.243385,178.838852,-18.217144,14.948234,18.496021,-18.427889,-6.832609,178.387802,-17.690109,-81.851898,101.073929,179.646164,15.704562,18.113476,-11.854982,-11.447968,176.720047,-16.891855,78.760475,211.690186,176.079376,15.059216,13.703923,-15.365487,1.092997,170.445389,-15.098977,79.927444,102.178017,179.622787,-80.181465,210.746597,176.988022,20.422224,178.515640,7.197457,,,,,,,,,,,,,,,
13,0.216667,4.541611,3.254234,-5.435713,-4.234026,176.099426,-16.976488,-0.330338,0.061269,0.179684,-2.595389,156.780106,175.564987,-172.290237,-52.925690,6.269130,15.231565,16.765392,-15.217231,0.245107,178.841156,-18.218904,14.948936,18.496782,-18.428860,-6.831829,178.389053,-17.693117,-81.852135,101.076271,179.645538,15.704599,18.113661,-11.855457,-11.446051,176.720963,-16.894516,78.760948,211.691620,176.082840,15.058109,13.703495,-15.366573,1.094406,170.448120,-15.101051,79.927536,102.179977,179.621033,-80.181168,210.748535,176.992111,20.420799,178.521698,7.199335,,,,,,,,,,,,,,,
14,0.233333,4.538211,3.247052,-5.424465,-4.230752,176.100800,-16.978889,-0.332661,0.061439,0.180296,-2.595385,156.778412,175.565430,-172.293564,-52.921722,6.269830,15.231840,16.765884,-15.217933,0.247772,178.843124,-18.220810,14.949582,18.497149,-18.429651,-6.828556,178.390167,-17.695915,-81.851517,101.073883,179.648499,15.704089,18.113913,-11.856313,-11.443651,176.721008,-16.898165,78.760368,211.690811,176.080826,15.058819,13.704413,-15.366989,1.099188,170.450409,-15.102184,79.927559,102.178284,179.625702,-80.181335,210.745911,176.992065,20.419153,178.537506,7.206893,,,,,,,,,,,,,,,
15,0.250000,4.540519,3.239755,-5.413548,-4.227608,176.101303,-16.981146,-0.331594,0.061603,0.180181,-2.595612,156.778244,175.566238,-172.299347,-52.925613,6.268743,15.231257,16.766003,-15.219036,0.250316,178.844376,-18.222374,14.948726,18.496925,-18.430758,-6.824959,178.390533,-17.698305,-81.851852,101.073799,179.648483,15.703286,18.114006,-11.857739,-11.440776,176.719955,-16.901381,78.760262,211.690475,176.082413,15.058672,13.704865,-15.367763,1.102774,170.451920,-15.104085,79.926498,102.180275,179.621979,-80.181320,210.745026,176.995163,20.415878,178.544647,7.213420,,,,,,,,,,,,,,,
