Format Version,1.22,Take Name,Alpha Translation Offset,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2019-10-02 08.48.43.900 PM,Total Frames in Take,361,Total Exported Frames,91,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.300000,-3.516166,24.198582,2.674494,-2.916952,159.619522,0.230634,-0.041809,-0.055866,0.257391,0.262082,156.399307,183.544647,-179.435776,17.655289,179.643066,16.526524,21.498459,-2.084839
19,0.316667,-3.497261,24.205606,2.676630,-2.907668,159.622009,0.230023,-0.040070,-0.056214,0.257418,0.263331,156.398224,183.547134,-179.435867,17.660151,179.639435,16.527132,21.497478,-2.084337
20,0.333333,-3.475116,24.212938,2.679829,-2.903256,159.625320,0.228350,-0.041647,-0.057284,0.257348,0.262448,156.398468,183.546616,-179.439026,17.660574,179.648193,16.528082,21.497168,-2.083493
21,0.350000,-3.422790,24.211771,2.687551,-2.898913,159.631271,0.224714,-0.043041,-0.058344,0.256780,0.262255,156.398727,183.544678,-179.437286,17.654863,179.646286,16.528851,21.496819,-2.082148
22,0.366667,-3.385642,24.250147,2.713813,-2.888118,159.639343,0.221135,-0.041657,-0.057468,0.257209,0.262201,156.398712,183.546249,-179.430023,17.667091,179.630875,16.529839,21.496161,-2.080527
23,0.383333,-3.329461,24.219437,2.702971,-2.876482,159.650742,0.212706,-0.043498,-0.058810,0.257200,0.261720,156.399643,183.544525,-179.429474,17.670797,179.638947,16.530758,21.496202,-2.079076
24,0.400000,-3.328441,24.254753,2.788465,-2.856133,159.665161,0.204491,-0.040482,-0.058343,0.256863,0.262746,156.399399,183.547089,-179.426880,17.673382,179.642899,16.530445,21.495771,-2.078261
25,0.416667,-3.267653,24.224430,2.759544,-2.846249,159.677979,0.196074,-0.043017,-0.057866,0.257941,0.262580,156.398315,183.547348,-179.421921,17.670435,179.636826,16.530689,21.495522,-2.077842
26,0.433333,-3.215619,24.205471,2.719838,-2.840503,159.686539,0.193206,-0.040940,-0.056188,0.257038,0.262892,156.399399,183.547607,-179.427979,17.661570,179.648956,16.530586,21.495659,-2.077802
27,0.450000,-3.186189,24.202021,2.689480,-2.835045,159.689087,0.195049,-0.041168,-0.056625,0.257176,0.262285,156.399994,183.546219,-179.425385,17.673565,179.638901,16.531536,21.495537,-2.078541
28,0.466667,-3.174115,24.206924,2.664269,-2.828163,159.688324,0.199412,-0.043013,-0.056204,0.257174,0.262713,156.398911,183.547134,-179.447662,17.686131,179.684814,16.531961,21.493927,-2.079775
29,0.483333,-3.164002,24.205881,2.643697,-2.822376,159.687515,0.202139,-0.041420,-0.056055,0.257129,0.262095,156.399857,183.546265,-179.453339,17.695593,179.686432,16.532560,21.492926,-2.081603
30,0.500000,-3.151951,24.212339,2.627415,-2.817942,159.686905,0.204635,-0.045198,-0.056491,0.257882,0.261485,156.398880,183.545456,-179.461304,17.697205,179.695633,16.533506,21.492537,-2.084200
