Format Version,1.22,Take Name,pm2_tran_005,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-03-16 11.04.57.329 AM,Total Frames in Take,86577,Total Exported Frames,21645,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
19,0.316667,7.925100,2.030366,-2.654860,-5.506747,178.250916,-26.825220,-0.348954,0.104705,0.178357,-2.647840,156.772491,175.572189,-172.469666,-45.454178,6.733962,12.492988,16.634792,-21.290428
20,0.333333,7.928214,2.033783,-2.659051,-5.503018,178.255707,-26.842243,-0.352098,0.105072,0.179082,-2.648809,156.770966,175.572662,-172.471542,-45.455082,6.744534,12.493730,16.633789,-21.292225
21,0.350000,,,,,,,,,,,,,,,,,,
22,0.366667,7.921669,2.036823,-2.675849,-5.490350,178.258377,-26.883516,-0.347511,0.105211,0.178417,-2.647749,156.770752,175.576202,-172.445679,-45.380424,6.807361,12.498917,16.629919,-21.295504
23,0.383333,,,,,,,,,,,,,,,,,,
24,0.400000,,,,,,,,,,,,,,,,,,
25,0.416667,7.955843,2.034897,-2.723011,-5.491485,178.259033,-26.950403,-0.350325,0.106020,0.179070,-2.648514,156.769485,175.573593,-172.449860,-45.373135,6.823201,12.502514,16.628208,-21.298775
26,0.433333,,,,,,,,,,,,,,,,,,
27,0.450000,7.940393,2.068291,-2.714700,-5.497756,178.258774,-26.996082,-0.348775,0.105826,0.178934,-2.648663,156.770630,175.574799,-172.460434,-45.379253,6.830047,12.503448,16.628244,-21.301716
28,0.466667,7.921766,2.085772,-2.697601,-5.500359,178.259735,-27.021090,-0.348807,0.105604,0.178224,-2.647488,156.769897,175.574936,-172.467468,-45.384975,6.833912,12.504127,16.627754,-21.302792
29,0.483333,7.916052,2.111995,-2.687539,-5.505426,178.260635,-27.048000,-0.349422,0.105354,0.178712,-2.648078,156.770569,175.574051,-172.468063,-45.385201,6.838941,12.504557,16.627483,-21.304268
30,0.500000,,,,,,,,,,,,,,,,,,
31,0.516667,7.927114,2.100002,-2.662263,-5.510813,178.257370,-27.100178,-0.348610,0.104649,0.178622,-2.648261,156.770981,175.574066,-172.481079,-45.387241,6.836615,12.506442,16.626766,-21.308174
32,0.533333,,,,,,,,,,,,,,,,,,
33,0.550000,,,,,,,,,,,,,,,,,,
34,0.566667,7.881973,2.121110,-2.635172,-5.517444,178.251831,-27.176929,-0.347305,0.103862,0.177896,-2.646608,156.770844,175.574188,-172.474976,-45.440094,6.887025,12.509412,16.623024,-21.314848
35,0.583333,7.888670,2.124568,-2.641106,-5.523794,178.251434,-27.205376,-0.351769,0.103861,0.178560,-2.648649,156.769974,175.572723,-172.538040,-45.539333,6.822183,12.505924,16.621223,-21.317696
36,0.600000,7.890286,2.137794,-2.655405,-5.527389,178.250275,-27.231741,-0.349684,0.104017,0.178709,-2.647169,156.769867,175.575470,-172.536392,-45.535992,6.832482,12.506348,16.620689,-21.319046
37,0.616667,7.866150,2.169253,-2.665405,-5.531684,178.248840,-27.257586,-0.349588,0.104407,0.179189,-2.647713,156.770142,175.572556,-172.549347,-45.533894,6.820419,12.507717,16.620424,-21.320211
38,0.633333,7.873105,2.194545,-2.663298,-5.536663,178.247299,-27.283699,-0.349404,0.103698,0.178896,-2.646989,156.769318,175.574295,-172.554260,-45.532787,6.821723,12.508782,16.620083,-21.321362
39,0.650000,7.866780,2.214901,-2.663047,-5.541285,178.245331,-27.310068,-0.348503,0.103893,0.178426,-2.646930,156.770477,175.574387,-172.561218,-45.530460,6.822212,12.509526,16.618803,-21.322342
40,0.666667,7.874010,2.211836,-2.661933,-5.545134,178.244217,-27.337133,-0.347163,0.104329,0.178665,-2.647002,156.770508,175.575623,-172.568726,-45.525730,6.821565,12.509727,16.617811,-21.323950
41,0.683333,7.886635,2.205951,-2.665451,-5.547630,178.242416,-27.363834,-0.348590,0.103948,0.178952,-2.647466,156.770508,175.573517,-172.579346,-45.529770,6.820348,12.510475,16.617476,-21.325872
42,0.700000,,,,,,,,,,,,,,,,,,
43,0.716667,7.857854,2.217663,-2.660088,-5.545414,178.240158,-27.416319,-0.349204,0.104858,0.179137,-2.648190,156.770248,175.574387,-172.602615,-45.519348,6.844858,12.509691,16.613600,-21.331415
44,0.733333,7.836208,2.222315,-2.664062,-5.540730,178.238480,-27.440586,-0.348193,0.105186,0.178979,-2.647749,156.770081,175.575394,-172.607407,-45.522308,6.856570,12.510167,16.612978,-21.334454
