Format Version,1.22,Take Name,BRS2 Stand,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 02.36.42.797 PM,Total Frames in Take,77640,Total Exported Frames,19411,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.300000,13.487435,-5.621493,5.943395,-1.704996,164.991013,-14.107491,-0.081014,0.916764,0.362008,1.690217,155.805710,174.706573,171.090698,28.723412,-166.404053,14.602703,12.923269,-10.493572
19,0.316667,13.488303,-5.619624,5.945182,-1.704545,164.990585,-14.116255,-0.081874,0.915383,0.362138,1.690327,155.806503,174.705353,171.088104,28.723227,-166.404755,14.603119,12.922398,-10.494187
20,0.333333,13.493420,-5.616982,5.951821,-1.704875,164.989990,-14.124115,-0.083483,0.916345,0.362156,1.689739,155.805191,174.705856,171.092346,28.729261,-166.404114,14.604251,12.922605,-10.495175
21,0.350000,13.509928,-5.615320,5.955036,-1.705536,164.990677,-14.132545,-0.083407,0.916418,0.362281,1.689151,155.805161,174.706345,171.090332,28.726448,-166.407501,14.603694,12.921721,-10.494921
22,0.366667,13.521759,-5.613934,5.959918,-1.706495,164.991913,-14.140648,-0.083995,0.915747,0.362322,1.689320,155.806244,174.703796,171.091003,28.737249,-166.402527,14.604632,12.922117,-10.494444
23,0.383333,13.527482,-5.611435,5.964713,-1.705278,164.992462,-14.148183,-0.083108,0.915599,0.362253,1.689970,155.806534,174.704498,171.095261,28.731379,-166.408722,14.603660,12.921704,-10.494433
24,0.400000,13.528935,-5.613791,5.976996,-1.703393,164.992828,-14.154610,-0.082479,0.915418,0.361741,1.689482,155.805939,174.704956,171.095779,28.735922,-166.407959,14.603427,12.921773,-10.494119
25,0.416667,13.526599,-5.620328,5.987051,-1.700927,164.993500,-14.161010,-0.086509,0.916963,0.362791,1.688259,155.805252,174.702377,171.091278,28.744568,-166.406509,14.603342,12.921291,-10.494434
26,0.433333,13.538442,-5.630947,5.992092,-1.698115,164.994019,-14.166604,-0.083834,0.917419,0.362277,1.689391,155.805634,174.705322,171.089828,28.746351,-166.407501,14.604740,12.920779,-10.494908
27,0.450000,13.542665,-5.636561,5.995123,-1.695163,164.994095,-14.172069,-0.083914,0.918217,0.362027,1.689202,155.805389,174.706284,171.078873,28.750347,-166.403839,14.605625,12.919850,-10.495707
28,0.466667,13.551551,-5.642500,5.997040,-1.691243,164.993958,-14.176425,-0.084817,0.916809,0.362036,1.689198,155.805786,174.705841,171.081604,28.758492,-166.404633,14.605474,12.918435,-10.495930
29,0.483333,13.556375,-5.656210,6.000607,-1.686361,164.994202,-14.180179,-0.082826,0.917377,0.361922,1.689584,155.807251,174.707245,171.075714,28.761681,-166.401917,14.606209,12.918393,-10.496055
30,0.500000,13.551986,-5.667154,6.001129,-1.681108,164.993195,-14.181741,-0.086059,0.916430,0.362640,1.688273,155.806061,174.702637,171.073486,28.755350,-166.404388,14.606144,12.917926,-10.496191
31,0.516667,13.558224,-5.670435,6.001365,-1.677499,164.992401,-14.183111,-0.083826,0.917171,0.361774,1.688631,155.805832,174.703354,171.078705,28.757519,-166.407120,14.604691,12.916684,-10.495897
32,0.533333,13.562531,-5.676591,5.998417,-1.675209,164.990707,-14.182943,-0.083541,0.917346,0.362376,1.688315,155.806259,174.705032,171.085754,28.764393,-166.410583,14.605272,12.916921,-10.496015
33,0.550000,13.565103,-5.671648,5.998329,-1.673701,164.989502,-14.182160,-0.086919,0.917362,0.362976,1.688158,155.805908,174.703506,171.081863,28.767595,-166.405289,14.605665,12.917131,-10.495389
34,0.566667,13.570221,-5.668499,6.003692,-1.673110,164.988876,-14.179918,-0.085151,0.917364,0.362927,1.688161,155.805283,174.705109,171.088898,28.769106,-166.409241,14.605674,12.917251,-10.495348
35,0.583333,13.574665,-5.666751,6.004381,-1.672679,164.988388,-14.177011,-0.085219,0.917860,0.362752,1.688090,155.806854,174.703323,171.089172,28.768764,-166.407364,14.605186,12.917283,-10.494673
36,0.600000,13.584805,-5.656798,6.010983,-1.672884,164.988388,-14.172848,-0.081679,0.917808,0.361882,1.689785,155.806473,174.706573,171.087662,28.766289,-166.410553,14.605239,12.917047,-10.494598
37,0.616667,13.588754,-5.658324,6.012744,-1.671631,164.988068,-14.167842,-0.085123,0.917035,0.362884,1.688596,155.805984,174.703003,171.090683,28.769207,-166.408936,14.605350,12.916991,-10.494583
38,0.633333,13.584461,-5.656065,6.016553,-1.669958,164.987946,-14.162019,-0.085971,0.916480,0.362230,1.688577,155.805893,174.702637,171.083160,28.765905,-166.405075,14.605320,12.916528,-10.495082
39,0.650000,13.579190,-5.659657,6.017526,-1.667796,164.988052,-14.155329,-0.085433,0.915660,0.362658,1.688664,155.806549,174.701233,171.083435,28.764601,-166.406723,14.605592,12.916498,-10.495598
40,0.666667,13.578135,-5.664854,6.017124,-1.665801,164.987854,-14.149064,-0.086117,0.914804,0.362445,1.688958,155.806183,174.700638,171.083603,28.761787,-166.413818,14.605329,12.916771,-10.496029
41,0.683333,13.575526,-5.668035,6.013036,-1.665052,164.988251,-14.143144,-0.088649,0.914558,0.363033,1.688419,155.805511,174.698593,171.080399,28.760487,-166.413879,14.605333,12.917158,-10.495910
42,0.700000,13.573729,-5.661599,6.006708,-1.666351,164.987823,-14.135647,-0.086845,0.915537,0.362958,1.688345,155.805634,174.702301,171.078934,28.761135,-166.420212,14.603946,12.916921,-10.496087
43,0.716667,13.566873,-5.653646,6.007208,-1.667629,164.986710,-14.127339,-0.085469,0.915591,0.362606,1.688365,155.806656,174.702835,171.073334,28.754089,-166.413910,14.604299,12.917848,-10.496140
44,0.733333,13.556112,-5.643082,6.021171,-1.667484,164.984055,-14.118032,-0.086109,0.914962,0.362377,1.688822,155.806824,174.702957,171.073593,28.760437,-166.414276,14.603625,12.918353,-10.496557
45,0.750000,13.541450,-5.633637,6.037204,-1.665622,164.982208,-14.110401,-0.087665,0.914369,0.361890,1.688958,155.806229,174.701218,171.071274,28.750984,-166.419708,14.602897,12.919146,-10.496802
46,0.766667,13.530896,-5.638227,6.052931,-1.662352,164.982346,-14.104883,-0.085876,0.915289,0.362095,1.689426,155.806641,174.703522,171.073807,28.750862,-166.419006,14.602095,12.919748,-10.496653
47,0.783333,13.533986,-5.646472,6.069633,-1.658289,164.985413,-14.101881,-0.088629,0.913497,0.362140,1.689059,155.806427,174.700790,171.078674,28.759045,-166.430191,14.601466,12.920385,-10.496456
48,0.800000,13.524374,-5.657289,6.081121,-1.652439,164.989761,-14.099910,-0.086125,0.914914,0.362349,1.689320,155.807327,174.701752,171.077271,28.749773,-166.427841,14.600390,12.920976,-10.496187
49,0.816667,13.540946,-5.667101,6.085456,-1.647438,164.994568,-14.098512,-0.084399,0.915128,0.362065,1.689631,155.806992,174.704071,171.085876,28.749609,-166.433731,14.599013,12.921737,-10.495948
50,0.833333,13.573853,-5.678217,6.080099,-1.642191,165.000290,-14.096637,-0.085578,0.916280,0.362756,1.689339,155.807037,174.702286,171.088272,28.746719,-166.445374,14.597169,12.922290,-10.495775
51,0.850000,13.604036,-5.697047,6.075142,-1.632608,165.004120,-14.091332,-0.089462,0.914280,0.362772,1.688409,155.806061,174.698227,171.034485,28.792048,-166.394867,14.596716,12.927553,-10.495872
52,0.866667,13.618630,-5.717528,6.065528,-1.622334,165.004791,-14.085573,-0.085120,0.914197,0.362110,1.689040,155.807098,174.703156,171.098206,28.722301,-166.468918,14.593869,12.923668,-10.494720
53,0.883333,13.628481,-5.735518,6.051216,-1.612676,165.003571,-14.079334,-0.084197,0.916414,0.362625,1.689385,155.807327,174.702347,171.042542,28.772507,-166.413925,14.594172,12.927455,-10.494371
54,0.900000,13.624884,-5.752834,6.029180,-1.603057,165.001816,-14.073825,-0.082453,0.915560,0.361873,1.689631,155.806961,174.705582,171.048126,28.773043,-166.410934,14.593239,12.926949,-10.493334
55,0.916667,13.629304,-5.760154,6.002431,-1.594918,165.000870,-14.067775,-0.084234,0.915670,0.362405,1.689415,155.806824,174.703796,171.055527,28.773396,-166.418304,14.593293,12.927187,-10.492693
56,0.933333,13.625023,-5.769024,5.976158,-1.587471,165.000351,-14.061557,-0.085278,0.915014,0.362704,1.689276,155.806854,174.703842,171.059326,28.776205,-166.407623,14.592962,12.927444,-10.492010
57,0.950000,13.621497,-5.770606,5.946545,-1.581746,165.000183,-14.054820,-0.083433,0.915791,0.361914,1.689708,155.807007,174.705780,171.061768,28.768764,-166.413361,14.592175,12.927851,-10.491549
58,0.966667,13.623883,-5.762180,5.919652,-1.577509,165.001266,-14.047122,-0.084650,0.915001,0.362131,1.689502,155.806686,174.703308,171.067902,28.763788,-166.419189,14.591730,12.928595,-10.491221
59,0.983333,13.625870,-5.754138,5.891607,-1.576401,165.003891,-14.038984,-0.085533,0.914398,0.361988,1.689279,155.806412,174.702271,171.070679,28.754715,-166.427353,14.590530,12.929212,-10.491111
60,1.000000,13.640830,-5.738000,5.869155,-1.577622,165.007309,-14.030893,-0.081994,0.915211,0.361998,1.689931,155.806793,174.706604,171.070297,28.749783,-166.423416,14.590268,12.929453,-10.490865
61,1.016667,13.655664,-5.723648,5.846136,-1.582042,165.012009,-14.022219,-0.082163,0.916109,0.362197,1.690084,155.805740,174.705902,171.071243,28.742100,-166.420944,14.590851,12.930327,-10.490556
62,1.033333,13.667393,-5.694644,5.827138,-1.588288,165.016495,-14.012776,-0.085850,0.916073,0.362518,1.689473,155.805344,174.704742,171.069687,28.725399,-166.419617,14.589387,12.929897,-10.490312
63,1.050000,13.679433,-5.671916,5.818419,-1.596066,165.020111,-14.003447,-0.087614,0.915314,0.362436,1.688958,155.805939,174.702301,171.067429,28.718275,-166.419678,14.589551,12.930165,-10.489442
64,1.066667,13.685487,-5.652749,5.822580,-1.603666,165.022690,-13.993592,-0.085126,0.917274,0.362478,1.689572,155.806442,174.704926,171.070251,28.714062,-166.416245,14.589298,12.929800,-10.488338
65,1.083333,13.694948,-5.641448,5.830082,-1.611430,165.024750,-13.984518,-0.084565,0.916117,0.362372,1.689629,155.805832,174.704468,171.072433,28.705322,-166.411484,14.588724,12.930170,-10.486326
66,1.100000,13.699178,-5.635557,5.844618,-1.617909,165.026031,-13.974131,-0.083856,0.916617,0.362037,1.689617,155.806076,174.706726,171.090027,28.709690,-166.409836,14.588449,12.930160,-10.483644
67,1.116667,13.709001,-5.631188,5.857250,-1.624244,165.028000,-13.964744,-0.083919,0.915756,0.362026,1.689721,155.805634,174.706085,171.101852,28.707363,-166.409775,14.588637,12.930508,-10.481205
68,1.133333,13.722113,-5.630148,5.873929,-1.629108,165.030807,-13.955677,-0.084126,0.916243,0.362191,1.689312,155.805832,174.705017,171.115631,28.714106,-166.408539,14.587996,12.930539,-10.479097
69,1.150000,13.746423,-5.638496,5.896543,-1.632249,165.034836,-13.947843,-0.085888,0.915798,0.362212,1.689132,155.805832,174.704559,171.135925,28.713312,-166.414795,14.588022,12.931188,-10.476995
70,1.166667,13.778163,-5.643008,5.915775,-1.634711,165.039200,-13.939984,-0.083569,0.916479,0.362054,1.689866,155.805862,174.705429,171.150269,28.709860,-166.414932,14.587397,12.931417,-10.475184
71,1.183333,13.800438,-5.643385,5.932609,-1.637317,165.043503,-13.933619,-0.084762,0.916054,0.362270,1.688758,155.806107,174.705399,171.158981,28.708040,-166.409882,14.587866,12.932074,-10.474364
72,1.200000,13.813325,-5.644042,5.938386,-1.640095,165.045807,-13.927655,-0.083584,0.915200,0.362061,1.689757,155.806030,174.704529,171.157532,28.739271,-166.447403,14.592107,12.933026,-10.472783
73,1.216667,13.825895,-5.646561,5.943416,-1.643763,165.048218,-13.921892,-0.084039,0.916147,0.361737,1.689842,155.806000,174.705246,171.155838,28.743517,-166.448563,14.592292,12.932643,-10.471994
74,1.233333,13.843137,-5.638205,5.942980,-1.647588,165.051010,-13.916633,-0.084753,0.914253,0.361996,1.689891,155.806931,174.703995,171.156616,28.723251,-166.406723,14.588709,12.931471,-10.472717
75,1.250000,13.855687,-5.632099,5.939876,-1.653013,165.052643,-13.911345,-0.086011,0.913901,0.362012,1.689349,155.806976,174.699432,171.152985,28.727608,-166.404739,14.588844,12.931406,-10.472851
76,1.266667,13.863154,-5.619593,5.934492,-1.660118,165.053818,-13.906635,-0.085505,0.914596,0.362071,1.689498,155.806534,174.703461,171.145782,28.724245,-166.406586,14.588197,12.931089,-10.473781
77,1.283333,13.866846,-5.596059,5.930124,-1.667410,165.055038,-13.902506,-0.084103,0.914802,0.361722,1.689540,155.806824,174.704819,171.142471,28.721346,-166.410797,14.588859,12.931228,-10.474868
78,1.300000,13.873280,-5.570560,5.937760,-1.673273,165.056961,-13.898629,-0.085272,0.914449,0.361731,1.689732,155.806549,174.703064,171.132584,28.719402,-166.409805,14.588706,12.931360,-10.475577
79,1.316667,13.891426,-5.555018,5.949377,-1.677809,165.060242,-13.895205,-0.082842,0.914945,0.362423,1.690398,155.806534,174.705597,171.122238,28.719173,-166.408722,14.589045,12.931670,-10.476604
80,1.333333,13.906852,-5.547497,5.960627,-1.680799,165.063904,-13.892462,-0.081653,0.916210,0.361877,1.689845,155.806519,174.706879,171.110306,28.720293,-166.408478,14.589087,12.932132,-10.477934
81,1.350000,13.924923,-5.541935,5.964228,-1.683364,165.065323,-13.889641,-0.086443,0.915429,0.362839,1.689446,155.805603,174.704819,171.099915,28.719669,-166.408707,14.589183,12.932086,-10.479075
82,1.366667,13.921589,-5.546321,5.963203,-1.685053,165.064224,-13.887022,-0.083082,0.916555,0.362321,1.690125,155.805389,174.709381,171.084625,28.719959,-166.402390,14.589614,12.931946,-10.481218
83,1.383333,13.918756,-5.551400,5.957233,-1.685669,165.062363,-13.885210,-0.082322,0.917347,0.362339,1.690019,155.806274,174.705841,171.065628,28.716127,-166.401627,14.591133,12.931540,-10.483454
84,1.400000,13.919515,-5.563753,5.954756,-1.685565,165.061050,-13.883316,-0.085311,0.916136,0.362431,1.690113,155.805527,174.706757,171.051758,28.724215,-166.399551,14.591553,12.930838,-10.484286
85,1.416667,13.925238,-5.567401,5.947664,-1.688105,165.059296,-13.880701,-0.084257,0.917534,0.362392,1.689494,155.805725,174.707367,171.040787,28.732683,-166.399643,14.592404,12.931013,-10.485657
86,1.433333,13.923110,-5.561145,5.943372,-1.692835,165.058716,-13.878341,-0.085574,0.916941,0.362157,1.689684,155.806473,174.706329,171.031662,28.730816,-166.406647,14.592402,12.931362,-10.486867
87,1.450000,13.925012,-5.548464,5.934412,-1.700501,165.058380,-13.876208,-0.086319,0.915831,0.362549,1.689728,155.805222,174.704712,170.917725,28.800087,-166.327148,14.593140,12.936407,-10.486339
88,1.466667,13.925464,-5.525592,5.929482,-1.710541,165.059158,-13.873890,-0.084598,0.916025,0.362696,1.689911,155.805237,174.705551,171.016953,28.732103,-166.408783,14.592171,12.931822,-10.489398
89,1.483333,13.931286,-5.505470,5.926128,-1.722471,165.061050,-13.872555,-0.085428,0.915655,0.362455,1.690020,155.805740,174.705444,171.014160,28.732025,-166.405212,14.592356,12.931776,-10.489940
