Format Version,1.22,Take Name,CS2__000,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2021-04-03 11.18.09.233 AM,Total Frames in Take,76934,Total Exported Frames,19234,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
27,0.450000,-6.588540,-0.123681,-7.943525,-0.870572,166.062134,-16.244104,-0.374323,0.095641,0.186363,-2.628736,156.786697,175.598251,179.154022,-53.228748,1.342255,16.187620,13.761875,-8.259892
28,0.466667,,,,,,,,,,,,,,,,,,
29,0.483333,-6.595843,-0.134922,-7.943461,-0.866326,166.059967,-16.249947,-0.385473,0.105054,0.185309,-2.625598,156.789215,175.613373,179.138519,-53.237370,1.336842,16.186285,13.761109,-8.260571
30,0.500000,-6.595272,-0.144416,-7.944320,-0.863676,166.059113,-16.252983,-0.386883,0.108701,0.185415,-2.627765,156.790344,175.613403,179.149704,-53.227276,1.335067,16.186888,13.761550,-8.259937
31,0.516667,-6.596920,-0.158073,-7.945953,-0.860098,166.058594,-16.256216,-0.387362,0.111969,0.185372,-2.631587,156.789444,175.613327,179.160202,-53.220932,1.343485,16.187513,13.762444,-8.259627
32,0.533333,-6.604829,-0.167611,-7.950605,-0.856937,166.056946,-16.259102,-0.388763,0.112153,0.185393,-2.631810,156.789322,175.614288,179.153931,-53.225563,1.337081,16.187561,13.762651,-8.258991
33,0.550000,-6.610173,-0.182749,-7.956353,-0.854259,166.056625,-16.261484,-0.392721,0.110450,0.185842,-2.625047,156.791550,175.615326,179.158997,-53.229591,1.343112,16.187313,13.762628,-8.259259
34,0.566667,-6.609445,-0.196448,-7.962725,-0.852226,166.057007,-16.264246,-0.384469,0.097158,0.186719,-2.606132,156.793625,175.616211,179.151169,-53.229671,1.336705,16.186764,13.762492,-8.259843
35,0.583333,-6.609063,-0.207177,-7.953893,-0.849556,166.057175,-16.267094,-0.392273,0.094055,0.186863,-2.592830,156.796753,175.620407,179.142548,-53.231831,1.329968,16.186289,13.762173,-8.260865
36,0.600000,,,,,,,,,,,,,,,,,,
37,0.616667,,,,,,,,,,,,,,,,,,
38,0.633333,-6.599070,-0.231260,-7.936032,-0.845799,166.060120,-16.277987,-0.498462,0.208492,0.182755,-2.622396,156.809357,175.718613,179.117889,-53.247417,1.327512,16.186207,13.762762,-8.263114
39,0.650000,-6.592767,-0.237501,-7.935183,-0.845474,166.061127,-16.282064,-0.516140,0.229848,0.181980,-2.630853,156.811172,175.735413,179.121201,-53.245106,1.326454,16.185211,13.762129,-8.262922
40,0.666667,-6.593294,-0.246343,-7.936994,-0.843730,166.061035,-16.286737,-0.515392,0.224261,0.182159,-2.622874,156.812149,175.733948,179.145065,-53.228256,1.337556,16.186762,13.763770,-8.262085
41,0.683333,,,,,,,,,,,,,,,,,,
42,0.700000,,,,,,,,,,,,,,,,,,
43,0.716667,-6.594531,-0.292035,-7.949236,-0.831758,166.058212,-16.303751,-0.499292,0.202093,0.183649,-2.613323,156.809540,175.718109,179.126480,-53.240780,1.320302,16.184294,13.761645,-8.260922
44,0.733333,,,,,,,,,,,,,,,,,,
45,0.750000,-6.608613,-0.304214,-7.965232,-0.829208,166.054001,-16.319475,-0.484271,0.182697,0.184421,-2.597419,156.809097,175.712631,179.138702,-53.224243,1.327850,16.186314,13.761827,-8.260187
46,0.766667,,,,,,,,,,,,,,,,,,
47,0.783333,,,,,,,,,,,,,,,,,,
48,0.800000,,,,,,,,,,,,,,,,,,
49,0.816667,,,,,,,,,,,,,,,,,,
50,0.833333,-6.647943,-0.292679,-7.969502,-0.830950,166.044922,-16.364944,-0.296084,-0.005719,0.191826,-2.570054,156.782150,175.531906,179.129822,-53.228527,1.326954,16.185089,13.760259,-8.260967
51,0.850000,-6.653087,-0.295226,-7.968243,-0.828983,166.043839,-16.374689,-0.295671,-0.004802,0.191387,-2.570645,156.782837,175.533203,179.128525,-53.229160,1.328472,16.186132,13.761168,-8.261390
52,0.866667,-6.655956,-0.304869,-7.970300,-0.826729,166.041840,-16.384375,-0.296098,-0.005906,0.191613,-2.571034,156.782730,175.531601,179.129974,-53.225010,1.333179,16.185751,13.760654,-8.261791
53,0.883333,,,,,,,,,,,,,,,,,,
54,0.900000,,,,,,,,,,,,,,,,,,
55,0.916667,-6.666051,-0.323602,-7.973491,-0.821705,166.033051,-16.410231,-0.295569,-0.004963,0.191494,-2.570107,156.781738,175.535889,179.124954,-53.223415,1.328360,16.185484,13.760233,-8.261823
56,0.933333,-6.673157,-0.319769,-7.966290,-0.821493,166.032715,-16.419262,-0.295627,-0.008175,0.191279,-2.568833,156.781891,175.532272,179.118225,-53.225655,1.323450,16.185459,13.760336,-8.262302
57,0.950000,-6.676476,-0.312700,-7.955212,-0.821149,166.032364,-16.429792,-0.295302,-0.007624,0.191302,-2.570545,156.782089,175.533005,179.114517,-53.226498,1.324995,16.186079,13.760757,-8.262798
