Format Version,1.22,Take Name,BJS2 stand,Capture Frame Rate,240.000000,Export Frame Rate,60.000000,Capture Start Time,2020-08-25 03.26.29.198 PM,Total Frames in Take,82631,Total Exported Frames,20659,Rotation Type,XYZ,Length Units,Centimeters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 01,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 02,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03,RigidBody 03
,,"751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","751B74DC4DA011E942374A447B10C986","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","5CDD43C6912211E942374A447B10D786","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986","900EF9F59C3511E942374A447B10D986"
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
18,0.300000,9.246295,1.170906,3.126866,-2.985575,159.206406,-24.912066,-0.109670,0.961891,0.350108,1.667310,155.804947,174.733704,-9.648232,-5.314789,-7.590777,17.049900,8.439580,-22.104698
19,0.316667,9.257327,1.180436,3.132480,-2.977732,159.204468,-24.928696,-0.110652,0.961207,0.350393,1.667131,155.805832,174.731628,-9.672378,-5.197437,-7.468187,17.045197,8.438193,-22.129827
20,0.333333,9.260109,1.177353,3.140236,-2.969088,159.202408,-24.946020,-0.109199,0.961168,0.350094,1.666578,155.806366,174.732239,-9.704295,-5.152263,-7.429040,17.038900,8.433579,-22.152843
21,0.350000,9.262848,1.169854,3.151627,-2.959811,159.200195,-24.963902,-0.110011,0.960826,0.349417,1.666768,155.806046,174.732178,-9.778335,-5.099765,-7.402340,17.042646,8.434019,-22.170336
22,0.366667,9.272815,1.162840,3.158916,-2.950101,159.198364,-24.981199,-0.111136,0.961156,0.349672,1.665928,155.806259,174.731079,-9.882310,-5.048966,-7.428743,17.049160,8.432391,-22.187180
23,0.383333,9.271160,1.162777,3.165125,-2.940176,159.196457,-24.996952,-0.112616,0.960667,0.349487,1.665212,155.805038,174.730011,-9.893341,-5.001394,-7.373256,17.055792,8.433598,-22.200880
24,0.400000,9.264947,1.166551,3.174180,-2.930448,159.194870,-25.010908,-0.108388,0.962039,0.349403,1.665752,155.806000,174.732483,-9.914287,-4.947655,-7.359043,17.060398,8.433736,-22.215200
25,0.416667,9.262137,1.181040,3.184965,-2.920699,159.194778,-25.022581,-0.117348,0.960257,0.350192,1.664501,155.804657,174.727493,-9.922876,-4.866939,-7.367167,17.060146,8.430532,-22.229506
26,0.433333,9.271433,1.191381,3.202213,-2.910426,159.196442,-25.033955,-0.111675,0.962736,0.349632,1.665524,155.806580,174.731079,-9.904263,-4.811269,-7.375530,17.063576,8.431753,-22.236971
27,0.450000,9.281066,1.193956,3.211552,-2.898912,159.199554,-25.044188,-0.112207,0.963256,0.350168,1.664731,155.804840,174.732269,-9.874183,-4.776783,-7.397720,17.067987,8.431075,-22.239077
